;form;lemmi;postag
0;;[None];[None]
1;,;[','];['u--------']
2;-δὲ;['δέ'];['c--------']
3;-δέ;['δέ'];['c--------']
4;-δ’;['δέ'];['c--------']
5;-θ’;['τε'];['c--------']
6;-τε;['τε'];['c--------']
7;-τ’;['τε'];['c--------']
8;.;['.'];['u--------']
9;";";"[';']";['u--------']
10;E;['E'];['z--------']
11;G?πεζός;['G'];['a-s---mn-']
12;·;['·'];['u--------']
13;Ἄπολλον;['Ἀπόλλων'];['n-s---mv-']
14;Ἄρης;['Ἄρης'];['n-s---mn-']
15;Ἄρτεμιν;['Ἄρτεμις'];['n-s---fa-']
16;Ἄρτεμις;['Ἄρτεμις'];['n-s---fn-']
17;Ἀγαμήδης;['Ἀγαμήδης'];['n-s---mn-']
18;Ἀζαντίδα;['Ἀζαντίς'];['n-s---fa-']
19;Ἀθήνην;['Ἀθήνη'];['n-s---fa-']
20;Ἀθηνῶν;['Ἀθῆναι'];['n-p---fg-']
21;Ἀθόως;['Ἄθως'];['n-s---mn-']
22;Ἀλφειοῖο;['Ἀλφειός'];['n-s---mg-']
23;Ἀμφιτρίτη;['Ἀμφιτρίτη'];['n-s---fn-']
24;Ἀπόλλων;['Ἀπόλλων'];['n-s---mn-']
25;Ἀπόλλωνα;['Ἀπόλλων'];['n-s---ma-']
26;Ἀπόλλωνά;['Ἀπόλλων'];['n-s---ma-']
27;Ἀπόλλωνι;['Ἀπόλλων'];['n-s---md-']
28;Ἀπόλλωνος;['Ἀπόλλων'];['n-s---mg-']
29;Ἀπόλλων’;['Ἀπόλλων'];['n-s---ma-']
30;Ἀργειφόντης;['Ἀργειφόντης'];['n-s---mn-']
31;Ἀργυφέην;['Ἀργυφέη'];['n-s---fa-']
32;Ἀρήνην;['Ἀρήνη'];['n-s---fa-']
33;Ἀρτέμιδι;['Ἄρτεμις'];['n-s---fd-']
34;Ἀφροδίτη;['Ἀφροδίτη'];['n-s---fn-']
35;Ἁλίαρτον;['Ἁλίαρτος'];['n-s---ma-']
36;Ἁρμονίη;['Ἁρμονία'];['n-s---fn-']
37;Αἰγαί;['Αἰγαί'];['n-p---fn-']
38;Αἰγίνη;['Αἴγινος'];['a-s---fn-']
39;Αἰολίωνος;['Αἰολίων'];['n-s---mg-']
40;Αἰπὺ;['Αἰπύ'];['n-s---na-']
41;Αἰσαγέης;['Αἰσαγέα'];['n-s---fg-']
42;Αὐτοκάνης;['Αὐτοκάνη'];['n-s---fg-']
43;Γαῖα;['Γαῖον', 'Γαῖα'];['n-p---nn-', 'n-s---fv-', 'n-s---fn-']
44;Δελφίνιος;['Δελφίνιος'];['n-s---mn-']
