;form;lemmi;postag
0;"""";"['""']";['u--------']
1;,;[','];['u--------']
2;.;['.'];['u--------']
3;E;['E'];['z--------']
4;·;['·'];['u--------']
5;ἀλλὰ;['ἀλλά'];['c--------']
6;αὐτὸς;['αὐτός'];['p-s---mn-']
7;δ’;['δέ'];['c--------']
8;ἐμὸς;['ἐμός'];['a-s---mn-']
9;ἐμός;['ἐμός'];['a-s---mn-']
10;ἐν;['ἐν'];['r--------']
11;ἐρεῖ;['λέγω'];['v3sfia---']
12;ἑνός;['εἷς'];['m-s---mg-']
13;εἴ;['εἰ'];['c--------']
14;εἰμι;['εἰμί'];['v1spia---']
15;εἰπεῖν;['λέγω'];['v--ana---']
16;θεός;['θεός'];['n-s---mn-']
17;ἴσον;['ἴσος'];['a-s---ma-']
18;κα-;['καί'];['c--------']
19;κατοικεῖν;['κατοικέω'];['v--pna---']
20;κόσμον;['κόσμος'];['n-s---ma-']
21;κοὐχὶ;['οὐ'];['d--------']
22;μόνον;['μόνος'];['d--------']
23;ὀφείλει;['ὀφείλω'];['v3spia---']
24;οὗτος;['οὗτος'];['p-s---mn-']
25;πάρεξ;['παρέξ'];['r--------']
26;πεποίηκε;['ποιέω'];['v3sria---']
27;πεποίηται;['ποιέω'];['v3srim---']
28;στήσας;['ἵστημι'];['v-sapamn-']
29;τις;['τις'];['p-s---cn-']
30;τούτου;['οὗτος'];['p-s---mg-']
31;τούτῳ;['οὗτος'];['p-s---md-']
32;ὑπὸ;['ὑπό'];['r--------']
33;ᾧ;['ὅς'];['p-s---nd-']
