;form;lemmi;postag
0;,;[','];['u--------']
1;-δὲ;['δέ'];['c--------']
2;-τε;['τε'];['c--------']
3;.;['.'];['u--------']
4;E;['E'];['z--------']
5;·;['·'];['u--------']
6;Ἀναξιμένει;['Ἀναξιμένης'];['n-s---md-']
7;Ἰταλιῶται;['Ἰταλιώτης'];['n-p---mn-']
8;Ἱέρωνι;['Ἱέρων'];['n-s---md-']
9;Μήδων;['Μῆδος'];['n-p---mg-']
10;Μιλήτου;['Μίλητος'];['n-s---fg-']
11;Πυθαγόραν;['Πυθαγόρας'];['n-s---ma-']
12;Πυθαγόρας;['Πυθαγόρας'];['n-s---mn-']
13;Πυθαγόρεω;['Πυθαγόρας'];['n-s---mg-']
14;Σικελικῆς;['Σικελικός'];['a-s---fg-']
15;ἂν;['ἄν'];['g--------']
16;ἀγαθὴ;['ἀγαθός'];['a-s---fn-']
17;ἀγούσης;['ἄγω'];['v-sppafg-']
18;ἀκρατεῖς;['ἀκρατής'];['a-p---fn-']
19;ἀλλὰ;['ἀλλά'];['c--------']
20;ἀλλήλους;['ἀλλήλων'];['p-p---ma-']
21;ἀλλ’;['ἀλλά'];['c--------']
22;ἀμείνων;['ἀγαθός'];['a-s---mnc']
23;ἀνδρὸς;['ἀνήρ'];['n-s---mg-']
24;ἀνὴρ;['ἀνήρ'];['n-s---mn-']
25;ἀνθρώπων;['ἄνθρωπος'];['n-p---mg-']
26;ἀπὸ;['ἀπό'];['r--------']
27;ἀπολαύεις;['ἀπολαύω'];['v2spia---']
28;ἀρετήν;['ἀρετή'];['n-s---fa-']
29;ἀσθενῶν;['ἀσθενής'];['a-p---mg-']
30;ἀσυμφόροις;['ἀσύμφορος'];['a-p---md-']
31;ἀσφαλὲς;['ἀσφαλής'];['a-s---nn-']
32;ἀσφαλὴς;['ἀσφαλής'];['a-s---mn-']
33;ἀφροδισίων;['ἀφροδίσιος'];['a-p---ng-']
34;αἰεὶ;['ἀεί'];['d--------']
35;αἰθερολογεῖν;['αἰθερολογέω'];['v--pna---']
36;αἰωρῇ;['αἰωρέω'];['v2spim---']
37;αἱρεθήσεται;['αἱρέω'];['v3sfip---']
38;αἱροῦνται;['αἱρέω'];['v3ppim---']
39;αὐτάρκεια;['αὐτάρκεια'];['n-s---fn-']
40;αὐτέων;['αὐτός'];['p-p---fg-']
41;αὐτῇσι;['αὐτός'];['p-p---fd-']
42;βαρὺ;['βαρύς'];['a-s---nn-']
43;βίος;['βίος'];['n-s---mn-']
44;γὰρ;['γάρ'];['g--------']
45;γενεήν;['γενεά'];['n-s---fa-']
46;γεννᾶται;['γεννάω'];['v3spim---']
47;δὲ;['δέ'];['c--------']
48;διάθεσις;['διάθεσις'];['n-s---fn-']
49;διαγωγή;['διαγωγή'];['n-s---fn-']
50;διαφέρουσιν;['διαφέρω'];['v3ppia---']
51;διὸ;['διό'];['d--------']
52;δοκεῖ;['δοκέω'];['v3spia---']
53;δουλοῦνται;['δουλόω'];['v3ppim---']
54;δύνασαι;['δύναμαι'];['v2spim---']
55;δυνάστου;['δυνάστης'];['n-s---mg-']
56;δ’;['δέ'];['c--------']
57;ἔλθῃ;['ἔρχομαι'];['v3sasa---']
58;ἔχει;['ἔχω'];['v3spia---']
59;ἐγγυτάτω;['ἐγγύς'];['d--------']
60;ἐγὼ;['ἐγώ'];['p-s---cn-']
61;ἐδεσμάτων;['ἔδεσμα'];['n-p---ng-']
62;ἐκ;['ἐκ'];['r--------']
63;ἐκλείψητε;['ἐκλείβω'];['v2pasa---']
64;ἐμέ;['ἐγώ'];['p-s---ca-']
65;ἐμεωυτοῦ;['ἐμαυτοῦ'];['p-s---mg-']
66;ἐμὸς;['ἐμός'];['a-s---mn-']
67;ἐμοὶ;['ἐγώ'];['p-s---cd-']
68;ἐν;['ἐν'];['r--------']
69;ἐναντιοῦται;['ἐναντιόομαι'];['v3spim---']
70;ἐνδείας;['ἔνδεια'];['n-s---fg-']
71;ἐοικότα;['ἔοικα'];['v-srpama-']
72;ἐπαχθὲς;['ἐπαχθής'];['a-s---nn-']
73;ἐπιβουλεύσοντα;['ἐπιβουλεύω'];['v-sfpama-']
74;ἐπιδοὺς;['ἐπιδίδωμι'];['v-sapamn-']
75;ἐπικινδυνότερα;['ἐπικίνδυνος'];['a-p---nnc']
76;εἰ;['εἰ'];['c--------']
77;εἶναι;['εἰμί'];['v--pna---']
78;εἰθισμένῳ;['ἐθίζω'];['v-srpmmd-']
79;εἰς;['εἰς'];['r--------']
80;εὔκλεια;['εὔκλεια'];['n-s---fn-']
81;ἦς;['εἰμί'];['v2siia---']
82;ἡ;['ὁ'];['l-s---fn-']
83;ἡδοναὶ;['ἡδονή'];['n-p---fn-']
84;ἡμέραν;['ἡμέρα'];['n-s---fa-']
85;ἡσύχιος;['ἡσύχιος'];['a-s---mn-']
86;θεοῦ;['θεός'];['n-s---mg-']
87;θεραπεία;['θεραπεία'];['n-s---fn-']
88;ἰατροὶ;['ἰατρός'];['n-p---mn-']
89;ἱκανὰ;['ἱκανός'];['a-p---na-']
90;κάλει;['καλέω'];['v2spma---']
91;κάλλιον;['καλός'];['a-s---nac']
92;καθ’;['κατά'];['r--------']
93;καὶ;['καί'];['c--------']
94;καλὸν;['καλός'];['a-s---nn-']
95;κατείρυκεν;['κατερύκω'];['v3sria---']
96;κατερύκει;['κατερύκω'];['v3spia---']
97;κατ’;['κατά'];['r--------']
98;κλέος;['κλέος'];['n-s---na-']
99;κόσμος;['κόσμος'];['n-s---mn-']
100;λιποδεὴς;['λιποδεής'];['a-s---mn-']
101;λόγος;['λόγος'];['n-s---mn-']
102;λῷστε;['λωΐων'];['a-s---mv-']
103;μάλιστα;['μάλα'];['d-------s']
104;μὲν;['μέν'];['g--------']
105;μέγα;['μέγας'];['a-s---nn-']
106;μέτριος;['μέτριος'];['a-s---mn-']
107;μελεδωνόν;['μελεδωνός'];['n-s---ma-']
108;μεταναστὰς;['μετανίστημι'];['v-sapamn-']
109;μὴ;['μή'];['d--------']
110;μηδὲν;['μηδείς'];['p-s---na-']
111;μύθους;['μῦθος'];['n-p---ma-']
112;νοσοῦσι;['νοσέω'];['v-pppamd-']
113;νῦν;['νῦν'];['d--------']
114;ὀνήιστοι;['ὀνήας'];['a-p---mns']
115;ὁ;['ὁ'];['l-s---mn-']
116;οἴχεο;['οἴχομαι'];['v2siim---']
117;οἱ;['ὁ'];['l-p---mn-']
118;οὐ;['οὐ'];['d--------']
119;οὔ;['οὐ'];['d--------']
120;οὖν;['οὖν'];['g--------']
121;οὐδὲν;['οὐδείς'];['p-s---na-']
122;οὐκ;['οὐ'];['d--------']
123;οὓς;['ὅς'];['p-p---ma-']
124;οὗ;['οὗ'];['d--------']
125;πάντα;['πᾶς'];['p-p---na-']
126;πάντ’;['πᾶς'];['p-p---na-']
127;παρὰ;['παρά'];['r--------']
128;πατρίδι;['πατρίς'];['n-s---fd-']
129;πατρόθεν;['πατρόθεν'];['d--------']
130;περὶ;['περί'];['r--------']
