@id,@form,@lemma,@postag,@relation
1,ὅση,ὅσος,p-s---fn-,SBJ
2,μέν,μέν,g--------,AuxY
3,",",",",u--------,AuxX
4,ὦ,ὦ,i--------,AuxZ
5,ἄνδρες,ἀνήρ,n-p---mv-,ExD
6,Ἀθηναῖοι,Ἀθηναῖος,a-p---mv-,ATR
7,",",",",u--------,AuxX
8,σπουδὴ,σπουδή,n-s---fn-,SBJ_CO
9,περὶ,περί,r--------,AuxP
10,τουτονὶ,οὗτος,p-s---ma-,ATR
11,τὸν,ὁ,l-s---ma-,ATR
12,ἀγῶνα,ἀγών,n-s---ma-,ADV
13,καὶ,καί,c--------,COORD
14,παραγγελία,παραγγελία,n-s---fn-,SBJ_CO
15,γέγονε,γίγνομαι,v3sria---,OBJ
16,",",",",u--------,AuxX
17,σχεδὸν,σχεδόν,d--------,ADV
18,οἶμαι,οἴομαι,v1spim---,PRED
19,πάντας,πᾶς,p-p---ma-,ATR
20,ὑμᾶς,σύ,p-p---ca-,SBJ
21,ᾐσθῆσθαι,αἰσθάνομαι,v--rnm---,OBJ
22,",",",",u--------,AuxX
23,ἑορακότας,ὁράω,v-prpama-,ADV
24,ἄρτι,ἄρτι,d--------,ADV
25,τοὺς,ὁ,l-p---ma-,OBJ
26,ὅτ’,ὅτε,c--------,AuxC
27,ἐκληροῦσθ’,κληρόω,v2piim---,ADV
28,ἐνοχλοῦντας,ἐνοχλέω,v-pppama-,OBJ_CO
29,καὶ,καί,c--------,COORD
30,προσιόντας,προσέρχομαι,v-pppama-,OBJ_CO
31,ὑμῖν,σύ,p-p---cd-,OBJ
32,.,.,u--------,AuxK
33,δεήσομαι,δέω,v1sfim---,PRED
34,δὲ,δέ,c--------,AuxY
35,πάντων,πᾶς,p-p---mg-,ATR
36,ὑμῶν,σύ,p-p---cg-,OBJ
37,",",",",u--------,AuxX
38,ἃ,ὅς,p-p---na-,SBJ
39,καὶ,καί,c--------,AuxZ
40,τοῖς,ὁ,l-p---md-,ATR
41,μὴ,μή,d--------,AuxZ
42,δεηθεῖσι,δέω,v-pappmd-,ADV
43,δίκαιόν,δίκαιος,a-s---nn-,PNOM
44,ἐστιν,εἰμί,v3spia---,ATR
45,ὑπάρχειν,ὑπάρχω,v--pna---,SBJ
46,",",",",u--------,AuxX
47,μηδεμίαν,μηδείς,p-s---fa-,ATR
48,μή,μή,d--------,AuxZ
49,-τε,τε,c--------,AuxY
50,χάριν,χάρις,n-s---fa-,OBJ_CO
51,μή,μή,d--------,AuxZ
52,-τ’,τε,c--------,COORD
53,ἄνδρα,ἀνήρ,n-s---ma-,OBJ_CO
54,ποιεῖσθαι,ποιέω,v--pnm---,OBJ
55,περὶ,περί,r--------,AuxP
56,πλείονος,πολύς,a-s---ngc,ADV
57,ἢ,ἤ,c--------,AuxC
58,τὸ,ὁ,l-s---na-,ATR
59,δίκαιον,δίκαιος,a-s---na-,OBJ_CO
60,καὶ,καί,c--------,COORD
61,τὸν,ὁ,l-s---ma-,ATR
62,ὅρκον,ὅρκος,n-s---ma-,OBJ_CO
63,ὃν,ὅς,p-s---ma-,OBJ
64,εἰσελήλυθεν,εἰσέρχομαι,v3sria---,ATR
65,ὑμῶν,σύ,p-p---cg-,ATR
66,ἕκαστος,ἕκαστος,p-s---mn-,ADV
67,ὀμωμοκώς,ὄμνυμι,v-srpamn-,ADV
68,",",",",u--------,AuxX
69,ἐνθυμουμένους,ἐνθυμέομαι,v-pppmma-,ADV
70,ὅτι,ὅτι,c--------,AuxC
71,ταῦτα,οὗτος,p-p---nn-,SBJ
72,μέν,μέν,g--------,AuxY
73,ἐσθ’,εἰμί,v3spia---,OBJ_CO
74,ὑπὲρ,ὑπέρ,r--------,AuxP
75,ὑμῶν,σύ,p-p---cg-,PNOM_CO
76,καὶ,καί,c--------,COORD
77,ὅλης,ὅλος,a-s---fg-,ATR
78,τῆς,ὁ,l-s---fg-,ATR
