@id,@form,@lemma,@postag,@relation
1,αἱ,ὁ,l-p---fn-,ATR
2,ὀσμαὶ,ὀσμή,n-p---fn-,SBJ
3,τὸ,ὁ,l-s---na-,ATR
4,μὲν,μέν,g--------,AuxY
5,ὅλον,ὅλος,a-s---na-,ADV
6,ἐκ,ἐκ,r--------,AuxP
7,μίξεώς,μίξις,n-s---fg-,ADV
8,εἰσι,εἰμί,v3ppia---,PRED
9,καθάπερ,καθά,c--------,AuxC
10,οἱ,ὁ,l-p---mn-,ATR
11,χυμοί,χυμός,n-p---mn-,SBJ
12,·,·,u--------,AuxK
13,E,E,z--------,ADV
14,τὸ,ὁ,l-s---nn-,ATR
15,γὰρ,γάρ,g--------,AuxY
16,ἄμικτον,ἄμικτος,a-s---nn-,SBJ
17,ἅπαν,ἅπας,p-s---nn-,ATR
18,ἄοδμον,ἄοδμος,a-s---nn-,PNOM
19,ὥσπερ,ὥσπερ,c--------,AuxC
20,ἄχυμον,ἄχυμος,a-s---nn-,PNOM
21,",",",",u--------,AuxX
22,διὸ,διό,d--------,ADV
23,καὶ,καί,c--------,AuxZ
24,τὰ,ὁ,l-p---nn-,SBJ
25,ἀπλᾶ,ἀπολάω,v1spia---,PRED
26,ἄοδμα,ἄοδμος,a-p---nn-,SBJ
27,",",",",u--------,AuxX
28,οἷον,οἷος,p-s---na-,AuxC
29,ὕδωρ,ὕδωρ,n-s---nn-,SBJ
30,ἀὴρ,ἀήρ,n-s---mn-,CO
31,πῦρ,πῦρ,n-s---nn-,CO
32,·,·,u--------,AuxK
33,E,E,z--------,ADV
34,E,E,z--------,ADV
35,ἡ,ὁ,l-s---fn-,ATR
36,δὲ,δέ,c--------,AuxY
37,γῆ,γῆ,n-s---fn-,SBJ
38,μάλιστ’,μάλα,d-------s,ADV
39,ἢ,ἤ,c--------,AuxC
40,μόνη,μόνος,a-s---fn-,ADV
41,ὀδμὴν,ὀσμή,n-s---fa-,OBJ
42,ἔχει,ἔχω,v3spia---,PRED
43,διὸ,διό,d--------,ADV
44,μάλιστα,μάλα,d-------s,ADV
45,μικτή,μικτός,a-s---fn-,ATR
46,.,.,u--------,AuxK
47,τῶν,ὁ,l-p---fg-,ATR
48,δ’,δέ,c--------,AuxY
49,ὀδμῶν,ὀσμή,n-p---fg-,ATR
50,αἱ,ὁ,l-p---fn-,SBJ
51,μὲν,μέν,g--------,AuxY
52,ὥσπερ,ὥσπερ,c--------,AuxC
53,ἀειδεῖς,ἀειδής,a-p---fn-,PNOM_CO
54,καὶ,καί,c--------,AuxY
55,ὑδαρεῖς,ὑδαρής,a-p---fn-,PNOM_CO
56,καθάπερ,καθά,c--------,AuxC
57,ἐπὶ,ἐπί,r--------,AuxP
58,τῶν,ὁ,l-p---ng-,ATR
59,χυμῶν,χυμός,n-p---mg-,ADV
60,",",",",u--------,AuxX
61,αἱ,ὁ,l-p---fn-,ATR
62,δ’,δέ,c--------,COORD
63,ἔχουσαί,ἔχω,v-pppafn-,SBJ
64,τινας,τις,p-p---ca-,ATR
65,ἰδέας,ἰδέα,n-p---fa-,OBJ
66,.,.,u--------,AuxK
67,E,E,z--------,PRED_CO
68,E,E,z--------,PRED_CO
69,αἱ,ὁ,l-p---fn-,ATR
70,δ’,δέ,c--------,AuxY
71,ἰδέαι,ἰδέα,n-p---fn-,SBJ
72,δοκοῦσι,δοκέω,v3ppia---,PRED
73,μὲν,μέν,g--------,AuxY
74,ἀκολουθεῖν,ἀκολουθέω,v--pna---,OBJ
75,ταῖς,ὁ,l-p---fd-,OBJ
76,τῶν,ὁ,l-p---mg-,ATR
77,χυμῶν,χυμός,n-p---mg-,ATR
78,",",",",u--------,AuxX
79,οὐ,οὐ,d--------,AuxZ
80,μὴν,μήν,g--------,AuxZ
81,ἔχουσί,ἔχω,v3ppia---,CO
82,γε,γε,g--------,AuxZ
83,πᾶσαι,πᾶς,p-p---fn-,SBJ
84,τὰς,ὁ,l-p---fa-,ATR
85,αὐτὰς,αὐτός,p-p---fa-,ATR
86,προσηγορίας,προσηγορία,n-p---fa-,OBJ
87,",",",",u--------,AuxX
88,ὥσπερ,ὥσπερ,c--------,AuxC
89,ἐν,ἐν,r--------,AuxP
90,τοῖς,ὁ,l-p---nd-,ADV
91,πρότερον,πρότερος,d-------c,ADV
92,εἴπομεν,λέγω,v1paia---,ADV
93,",",",",u--------,AuxX
94,οὐ,οὐ,d--------,AuxZ
95,-δ’,δέ,c--------,MWE
96,ὅλως,ὅλος,d--------,ADV
97,οὕτω,οὕτως,d--------,ADV
98,διωρισμέναι,διορίζω,v-prpmfn-,ADV
99,τοῖς,ὁ,l-p---nd-,ATR
100,εἴδεσιν,εἶδος,n-p---nd-,OBJ
101,ὥσπερ,ὥσπερ,c--------,AuxC
102,οἱ,ὁ,l-p---mn-,ATR
103,χυμοὶ,χυμός,n-p---mn-,SBJ
104,ἀλλ’,ἀλλά,c--------,AuxY
105,ὡς,ὡς,c--------,AuxC
106,ἄν,ἄν,g--------,AuxY
107,τοῖς,ὁ,l-p---nd-,ATR
108,γένεσιν,γένεσις,n-p---nd-,OBJ
109,",",",",u--------,AuxX
110,ὅτι,ὅτι,c--------,AuxC
111,τὰ,ὁ,l-p---nn-,ATR
112,μὲν,μέν,g--------,AuxY
113,εὔοσμα,εὔοσμος,a-p---nn-,PNOM
114,τὰ,ὁ,l-p---nn-,SBJ
115,δὲ,δέ,c--------,AuxY
116,κάκοσμα,κάκοσμος,a-p---nn-,PNOM
117,.,.,u--------,AuxK
118,E,E,z--------,ADV
119,E,E,z--------,ADV
120,τῆς,ὁ,l-s---fg-,ATR
121,δ’,δέ,c--------,AuxY
122,εὐωδίας,εὐωδία,n-s---fg-,ATR_CO
123,καὶ,καί,c--------,COORD
124,κακωδίας,κακωδία,n-s---fg-,ATR_CO
125,οὐκέτι,οὐκέτι,d--------,ADV
126,τὰ,ὁ,l-p---nn-,ATR
127,εἴδη,εἶδος,n-p---nn-,SBJ
128,κατωνόμασται,κατονομάζω,v3srim---,PRED_CO
129,καίπερ,καίπερ,d--------,AuxZ
130,ἔχοντα,ἔχω,v-pppann-,ADV
131,διαφορὰς,διαφορά,n-p---fa-,OBJ
132,μεγάλας,μέγας,a-p---fa-,ATR
133,ἐπί,ἐπί,r--------,AuxP
134,γ’,γε,g--------,AuxZ
135,αὐτῶν,αὐτός,p-p---ng-,ATR
136,τῶν,ὁ,l-p---ng-,ATR
137,γλυκέων,γλυκύς,a-p---ng-,ADV_CO
138,καὶ,καί,c--------,COORD
139,πικρῶν,πικρός,a-p---ng-,ADV_CO
140,",",",",u--------,AuxX
141,ἀλλὰ,ἀλλά,c--------,COORD
142,δριμεῖα,δριμύς,a-s---fn-,ATR_CO
143,λέγεται,λέγω,v3spim---,PRED_CO
144,καὶ,καί,c--------,AuxY
145,ἰσχυρὰ,ἰσχυρός,a-s---fn-,ATR_CO
146,καὶ,καί,c--------,AuxY
