@id,@form,@lemma,@postag,@relation
1,ἀγαθὰ,ἀγαθός,a-p---na-,OBJ
2,προθύμως,πρόθυμος,d--------,ADV
3,καὶ,καί,c--------,AuxY
4,λάλει,λαλέω,v2spma---,PRED_CO
5,καὶ,καί,c--------,COORD
6,μάνθανε,μανθάνω,v2spma---,PRED_CO
7,.,.,u--------,AuxK
8,βούλου,βούλομαι,v2spmm---,PRED
9,τὸ,ὁ,l-s---na-,ATR
10,πρῶτον,πρῶτος,a-s---na-,ADV
11,εὐσεβεῖν,εὐσεβέω,v--pna---,OBJ
12,πρὸς,πρός,r--------,AuxP
13,τὸν,ὁ,l-s---ma-,ATR
14,θεόν,θεός,n-s---ma-,OBJ
15,.,.,u--------,AuxK
16,βουλὴ,βουλή,n-s---fn-,SBJ
17,πονηρὰ,πονηρός,a-s---fn-,ATR
18,χρηστὸν,χρηστός,a-s---na-,ATR
19,οὐκ,οὐ,d--------,AuxZ
20,ἔχει,ἔχω,v3spia---,PRED
21,τέλος,τέλος,n-s---na-,OBJ
22,.,.,u--------,AuxK
23,γονεῖς,γονεύς,n-p---ma-,OBJ
24,δὲ,δέ,c--------,AuxY
25,τίμα,τιμάω,v2spma---,PRED_CO
26,καὶ,καί,c--------,COORD
27,γέροντας,γέρων,n-p---ma-,OBJ
28,αἰσχύνου,αἰσχύνω,v2spmm---,PRED_CO
29,.,.,u--------,AuxK
30,γυναικὶ,γυνή,n-s---fd-,OBJ
31,κόσμος,κόσμος,n-s---mn-,PNOM
32,ὁ,ὁ,l-s---mn-,ATR
33,τρόπος,τρόπος,n-s---mn-,SBJ
34,",",",",u--------,AuxY
35,οὐ,οὐ,d--------,AuxZ
36,τὰ,ὁ,l-p---nn-,ATR
37,χρυσία,χρυσίον,n-p---nn-,CO
38,.,.,u--------,AuxK
39,E,E,z--------,PRED
40,διὰ,διά,r--------,AuxP
41,πενίαν,πενία,n-s---fa-,ADV
42,μηδενὸς,μηδείς,p-s---mg-,ATR
43,καταφρόνει,καταφρονέω,v2spma---,PRED
44,.,.,u--------,AuxK
45,δειναὶ,δεινός,a-p---fn-,PNOM
46,γὰρ,γάρ,g--------,AuxY
