@id,@form,@lemma,@postag,@relation
1,Πυθαγόρας,Πυθαγόρας,n-s---mn-,SBJ
2,Ἀναξιμένει,Ἀναξιμένης,n-s---md-,OBJ
3,.,.,u--------,AuxK
4,E,E,z--------,PRED
5,καὶ,καί,c--------,AuxY
6,σύ,σύ,p-s---cn-,SBJ
7,",",",",u--------,AuxX
8,ὦ,ὦ,i--------,AuxZ
9,λῷστε,λωΐων,a-s---mv-,ExD
10,",",",",u--------,AuxX
11,εἰ,εἰ,c--------,AuxC
12,μηδὲν,μηδείς,p-s---na-,ADV
13,ἀμείνων,ἀγαθός,a-s---mnc,PNOM
14,ἦς,εἰμί,v2siia---,ADV
15,Πυθαγόρεω,Πυθαγόρας,n-s---mg-,ADV
16,γενεήν,γενεά,n-s---fa-,ADV_CO
17,τε,τε,c--------,AuxY
18,καὶ,καί,c--------,COORD
19,κλέος,κλέος,n-s---na-,ADV_CO
20,",",",",u--------,AuxX
21,μεταναστὰς,μετανίστημι,v-sapamn-,ADV
22,ἂν,ἄν,g--------,AuxY
23,οἴχεο,οἴχομαι,v2siim---,PRED
24,ἐκ,ἐκ,r--------,AuxP
25,Μιλήτου,Μίλητος,n-s---fg-,OBJ
26,·,·,u--------,AuxK
27,νῦν,νῦν,d--------,ADV
28,δὲ,δέ,c--------,AuxY
29,κατερύκει,κατερύκω,v3spia---,PRED_CO
30,σε,σύ,p-s---ca-,OBJ
31,ἡ,ὁ,l-s---fn-,ATR
32,πατρόθεν,πατρόθεν,d--------,ATR
33,εὔκλεια,εὔκλεια,n-s---fn-,SBJ
34,",",",",u--------,AuxX
35,καὶ,καί,c--------,AuxY
36,ἐμέ,ἐγώ,p-s---ca-,OBJ
37,τε,τε,c--------,COORD
38,ἂν,ἄν,g--------,AuxY
39,κατείρυκεν,κατερύκω,v3sria---,PRED_CO
40,Ἀναξιμένει,Ἀναξιμένης,n-s---md-,OBJ
41,ἐοικότα,ἔοικα,v-srpama-,ADV
42,.,.,u--------,AuxK
43,εἰ,εἰ,c--------,AuxC
44,δὲ,δέ,c--------,AuxY
45,ὑμεῖς,σύ,p-p---cn-,SBJ
46,οἱ,ὁ,l-p---mn-,ATR
47,ὀνήιστοι,ὀνήας,a-p---mns,ATR
48,τὰς,ὁ,l-p---fa-,ATR
49,πόλιας,πόλις,n-p---fa-,OBJ
50,ἐκλείψητε,ἐκλείβω,v2pasa---,ADV
51,",",",",u--------,AuxX
52,ἀπὸ,ἀπό,r--------,AuxP
53,μὲν,μέν,g--------,AuxY
54,αὐτέων,αὐτός,p-p---fg-,ADV
55,ὁ,ὁ,l-s---mn-,ATR
56,κόσμος,κόσμος,n-s---mn-,SBJ
57,αἱρεθήσεται,αἱρέω,v3sfip---,PRED_CO
58,",",",",u--------,AuxX
59,ἐπικινδυνότερα,ἐπικίνδυνος,a-p---nnc,PNOM
60,δ’,δέ,c--------,COORD
61,αὐτῇσι,αὐτός,p-p---fd-,ADV
62,τὰ,ὁ,l-p---nn-,SBJ
63,ἐκ,ἐκ,r--------,AuxP
64,Μήδων,Μῆδος,n-p---mg-,ATR
65,.,.,u--------,AuxK
66,E,E,z--------,PRED_CO
67,οὔ,οὐ,d--------,AuxZ
68,-τε,τε,c--------,AuxY
69,δὲ,δέ,c--------,AuxY
70,αἰεὶ,ἀεί,d--------,ADV
71,καλὸν,καλός,a-s---nn-,PNOM
72,αἰθερολογεῖν,αἰθερολογέω,v--pna---,SBJ_CO
73,",",",",u--------,AuxX
74,μελεδωνόν,μελεδωνός,n-s---ma-,PNOM
75,τε,τε,c--------,COORD
76,εἶναι,εἰμί,v--pna---,SBJ_CO
77,τῇ,ὁ,l-s---fd-,ATR
78,πατρίδι,πατρίς,n-s---fd-,ADV
79,κάλλιον,καλός,a-s---nac,PNOM
80,.,.,u--------,AuxK
81,E,E,z--------,PRED
82,καὶ,καί,c--------,AuxY
83,ἐγὼ,ἐγώ,p-s---cn-,SBJ
84,δὲ,δέ,c--------,AuxY
85,οὐ,οὐ,d--------,AuxZ
86,πάντα,πᾶς,p-p---na-,ATR
87,περὶ,περί,r--------,AuxP
88,τοὺς,ὁ,l-p---ma-,ATR
89,ἐμεωυτοῦ,ἐμαυτοῦ,p-s---mg-,ATR
90,μύθους,μῦθος,n-p---ma-,ADV_CO
91,",",",",u--------,AuxX
92,ἀλλὰ,ἀλλά,c--------,COORD
93,καὶ,καί,c--------,AuxZ
94,ἐν,ἐν,r--------,AuxP
95,πολέμοις,πόλεμος,n-p---md-,ADV_CO
96,",",",",u--------,AuxX
97,οὓς,ὅς,p-p---ma-,OBJ
98,διαφέρουσιν,διαφέρω,v3ppia---,ATR
99,εἰς,εἰς,r--------,AuxP
100,ἀλλήλους,ἀλλήλων,p-p---ma-,OBJ
101,Ἰταλιῶται,Ἰταλιώτης,n-p---mn-,SBJ
102,.,.,u--------,AuxK
103,E,E,z--------,PRED
104,Πυθαγόρας,Πυθαγόρας,n-s---mn-,SBJ
105,Ἱέρωνι,Ἱέρων,n-s---md-,OBJ
106,.,.,u--------,AuxK
107,E,E,z--------,PRED
108,ἀσφαλὴς,ἀσφαλής,a-s---mn-,PNOM_CO
109,ὁ,ὁ,l-s---mn-,ATR
110,ἐμὸς,ἐμός,a-s---mn-,ATR
111,βίος,βίος,n-s---mn-,SBJ
112,καὶ,καί,c--------,AuxY
113,ἡσύχιος,ἡσύχιος,a-s---mn-,PNOM_CO
114,",",",",u--------,AuxX
115,ὁ,ὁ,l-s---mn-,ATR
116,δὲ,δέ,c--------,COORD
117,σὸς,σός,a-s---mn-,SBJ
118,κατ’,κατά,r--------,AuxP
119,οὐδὲν,οὐδείς,p-s---na-,ADV
120,ἐμοὶ,ἐγώ,p-s---cd-,OBJ
121,προσπελάζει,προσπελάζω,v3spia---,PRED_CO
122,.,.,u--------,AuxK
123,E,E,z--------,PRED_CO
124,μέτριος,μέτριος,a-s---mn-,ATR_CO
125,ἀνὴρ,ἀνήρ,n-s---mn-,SBJ
126,καὶ,καί,c--------,COORD
127,λιποδεὴς,λιποδεής,a-s---mn-,ATR_CO
128,Σικελικῆς,Σικελικός,a-s---fg-,ATR
129,τραπέζης,τράπεζα,n-s---fg-,ATR
130,οὐδὲν,οὐδείς,p-s---na-,OBJ
131,προσδεῖται,προσδέω,v3spim---,PRED
132,.,.,u--------,AuxK
133,πάντ’,πᾶς,p-p---na-,OBJ
134,ἔχει,ἔχω,v3spia---,PRED
135,Πυθαγόρας,Πυθαγόρας,n-s---mn-,SBJ
136,ἱκανὰ,ἱκανός,a-p---na-,ATR
137,τὰ,ὁ,l-p---na-,OBJ
138,καθ’,κατά,r--------,AuxP
139,ἡμέραν,ἡμέρα,n-s---fa-,ATR
140,",",",",u--------,AuxX
141,οὗ,οὗ,d--------,ADV
142,ἂν,ἄν,g--------,AuxY
143,ἔλθῃ,ἔρχομαι,v3sasa---,ATR
144,·,·,u--------,AuxK
145,θεραπεία,θεραπεία,n-s---fn-,SBJ
146,δὲ,δέ,c--------,AuxY
147,δυνάστου,δυνάστης,n-s---mg-,ATR
148,βαρὺ,βαρύς,a-s---nn-,ATR_CO
149,καὶ,καί,c--------,COORD
150,ἐπαχθὲς,ἐπαχθής,a-s---nn-,ATR_CO
151,τῷ,ὁ,l-s---md-,ATR
152,μὴ,μή,d--------,AuxZ
153,εἰθισμένῳ,ἐθίζω,v-srpmmd-,ADV
154,.,.,u--------,AuxK
155,E,E,z--------,PRED
156,μέγα,μέγας,a-s---nn-,ATR_CO
157,καὶ,καί,c--------,COORD
158,ἀσφαλὲς,ἀσφαλής,a-s---nn-,ATR_CO
159,αὐτάρκεια,αὐτάρκεια,n-s---fn-,SBJ
160,·,·,u--------,AuxK
161,E,E,z--------,PRED
162,οὔ,οὐ,d--------,AuxZ
163,-τε,τε,c--------,AuxY
164,γὰρ,γάρ,g--------,AuxY
165,ἔχει,ἔχω,v3spia---,PRED
166,τὸν,ὁ,l-s---ma-,ATR
167,φθονήσοντα,φθονέω,v-sfpama-,OBJ_CO
168,οὔ,οὐ,d--------,AuxZ
169,-τε,τε,c--------,COORD
170,τὸν,ὁ,l-s---ma-,ATR
171,ἐπιβουλεύσοντα,ἐπιβουλεύω,v-sfpama-,OBJ_CO
172,.,.,u--------,AuxK
173,διὸ,διό,d--------,ADV
174,καὶ,καί,c--------,AuxY
175,δοκεῖ,δοκέω,v3spia---,PRED
176,εἶναι,εἰμί,v--pna---,OBJ
177,ἐγγυτάτω,ἐγγύς,d--------,AuxP
178,θεοῦ,θεός,n-s---mg-,ADV
179,ἡ,ὁ,l-s---fn-,ATR
180,διαγωγή,διαγωγή,n-s---fn-,SBJ
181,.,.,u--------,AuxK
182,διάθεσις,διάθεσις,n-s---fn-,SBJ
183,ἀγαθὴ,ἀγαθός,a-s---fn-,ATR
184,οὐ,οὐ,d--------,AuxZ
185,γεννᾶται,γεννάω,v3spim---,PRED
186,ὑπὸ,ὑπό,r--------,AuxP
187,ἀφροδισίων,ἀφροδίσιος,a-p---ng-,OBJ_CO
188,οὐ,οὐ,d--------,AuxZ
189,-δὲ,δέ,c--------,COORD
190,ὑπὸ,ὑπό,r--------,AuxP
191,ἐδεσμάτων,ἔδεσμα,n-p---ng-,OBJ_CO
192,",",",",u--------,AuxX
193,ἀλλ’,ἀλλά,c--------,AuxY
194,ὑπὸ,ὑπό,r--------,AuxP
195,ἐνδείας,ἔνδεια,n-s---fg-,OBJ_CO
196,ἀγούσης,ἄγω,v-sppafg-,ATR
197,πρὸς,πρός,r--------,AuxP
198,ἀνδρὸς,ἀνήρ,n-s---mg-,ATR
199,ἀρετήν,ἀρετή,n-s---fa-,OBJ
200,·,·,u--------,AuxK
