@id,@form,@lemma,@postag,@relation
1,ὁ,ὁ,l-s---mn-,ATR
2,μὲν,μέν,g--------,AuxY
3,θεὸς,θεός,n-s---mn-,SBJ
4,εἷς,εἷς,m-s---mn-,ATR
5,",",",",u--------,AuxX
6,αὐτὸς,αὐτός,p-s---mn-,ATR
7,δὲ,δέ,c--------,AuxY
8,οὐχ,οὐ,d--------,AuxZ
9,",",",",u--------,AuxX
10,ὥς,ὡς,c--------,AuxC
11,τινες,τις,p-p---cn-,SBJ
12,ὑπονοοῦσιν,ὑπονοέω,v3ppia---,ADV
13,",",",",u--------,AuxX
14,ἐκτὸς,ἐκτός,r--------,AuxP
15,τᾶς,ὁ,l-s---fg-,ATR
16,διακοσμήσιος,διακόσμησις,n-s---fg-,ADV
17,",",",",u--------,AuxX
18,ἀλλ’,ἀλλά,c--------,COORD
19,ἐν,ἐν,r--------,AuxP
20,ἑαυτῷ,ἑαυτοῦ,p-s---md-,ADV
21,ὅλος,ὅλος,a-s---mn-,SBJ
22,ἐν,ἐν,r--------,AuxP
23,ὅλῳ,ὅλος,a-s---md-,ATR
24,τῷ,ὁ,l-s---md-,ATR
25,κύκλῳ,κύκλος,n-s---md-,ADV
26,ἐπισκοπῶν,ἐπισκοπέω,v-sppamn-,ADV
27,πάσας,πᾶς,p-p---fa-,ATR
28,τὰς,ὁ,l-p---fa-,ATR
29,γενέσιάς,γένεσις,n-p---fa-,SBJ
30,ἐστι,εἰμί,v3spia---,PRED_CO
31,",",",",u--------,AuxX
32,κρᾶσις,κρᾶσις,n-s---fn-,PNOM_CO
33,ἐὼν,εἰμί,v-sppamn-,ADV
34,τῶν,ὁ,l-p---mg-,ATR
35,ὅλων,ὅλος,a-p---mg-,ATR
36,αἰώνων,αἰών,n-p---mg-,ATR
37,καὶ,καί,c--------,COORD
38,ἐργάτας,ἐργάτης,n-p---ma-,PNOM_CO
39,τῶν,ὁ,l-p---ng-,ATR
40,αὐτοῦ,αὐτός,p-s---mg-,ATR
41,δυνάμιων,δύναμια,n-p---fg-,ATR_CO
42,καὶ,καί,c--------,COORD
43,ἔργων,ἔργον,n-p---ng-,ATR_CO
44,",",",",u--------,AuxX
45,ἀρχὰ,ἀρχή,n-s---fn-,APOS_CO
46,πάντων,πᾶς,p-p---ng-,ATR
47,",",",",u--------,AuxX
48,ἐν,ἐν,r--------,AuxP
49,οὐρανῷ,οὐρανός,n-s---md-,ADV
50,φωστὴρ,φωστήρ,n-s---mn-,APOS_CO
51,καὶ,καί,c--------,COORD
52,πάντων,πᾶς,p-p---mg-,ATR
53,πατήρ,πατήρ,n-s---mn-,APOS_CO
54,",",",",u--------,AuxX
55,νοῦς,νόος,n-s---mn-,APOS_CO
56,καὶ,καί,c--------,COORD
57,ψύχωσις,ψύχωσις,n-s---fn-,APOS_CO
58,τῶν,ὁ,l-p---ng-,ATR
59,ὅλων,ὅλος,a-p---ng-,ATR
60,",",",",u--------,AuxX
61,κύκλων,κύκλος,n-p---mg-,ATR
62,ἁπάντων,ἅπας,p-p---mg-,ATR
63,E,E,z--------,PRED_CO
