,author,total_words,correct_lemmas,correct_pos,lemma_accuracy,pos_accuracy
0,aeschines,15971,10264,0,0.643,0.0
1,antiphon,16433,10955,0,0.667,0.0
2,appian,25665,17441,0,0.68,0.0
3,aristotle,19867,14301,0,0.72,0.0
4,dion,30312,21308,0,0.703,0.0
5,hdt,33150,25181,0,0.76,0.0
6,josephus,24987,17528,0,0.701,0.0
7,lysias,22122,14517,0,0.656,0.0
8,plato,10457,6760,0,0.646,0.0
9,ps,3723,2551,0,0.685,0.0
10,thuc,32344,22144,0,0.685,0.0
11,xen,68725,47817,0,0.696,0.0
12,athen,45609,29390,0,0.644,0.0
13,demosthenes,66613,48177,0,0.723,0.0
14,diodsic,25692,18572,0,0.723,0.0
15,plutarch,37203,24631,0,0.662,0.0
16,polybius,105693,74579,0,0.706,0.0
