,opera,total_words,correct_lemmas,correct_pos,lemma_accuracy,pos_accuracy
0,aeschines-1-1-50-bu1.xml,4342,2935,2979,0.676,0.686
1,aeschines-1-101-150-bu1.xml,3971,2731,2840,0.688,0.715
2,aeschines-1-151-196-bu1.xml,3704,2500,2638,0.675,0.712
3,aeschines-1-51-100-bu1.xml,3860,2628,2697,0.681,0.699
4,antiphon-1-bu2.xml,2040,1427,1365,0.7,0.669
5,antiphon-2-bu2.xml,2912,2016,1854,0.692,0.637
6,antiphon-5-bu2.xml,7426,5242,4779,0.706,0.644
7,antiphon-6-bu2.xml,3995,2845,2660,0.712,0.666
8,appian-bc-1-0-1-4-bu1.xml,7044,4901,5049,0.696,0.717
9,appian-bc-1-11-14-bu1.xml,6149,4266,4354,0.694,0.708
10,appian-bc-1-5-7-bu1.xml,5845,4047,4171,0.692,0.714
11,appian-bc-1-8-10-bu1.xml,6611,4515,4781,0.683,0.723
12,aristotle-politics-book-1-bu1.xml,7668,5700,4944,0.743,0.645
13,aristotle-politics-book-2-bu2.xml,12168,8908,8271,0.732,0.68
14,athen12-1-9-2019.xml,2192,1531,1494,0.698,0.682
15,athen12-10-19-2019.xml,2823,2023,1965,0.717,0.696
16,athen12-20-29-2019.xml,2015,1420,1485,0.705,0.737
17,athen12-30-39-jan-15.xml,1914,1355,1366,0.708,0.714
18,athen12-40-49-jan-15.xml,2339,1646,1626,0.704,0.695
19,athen12-50-59-jan-15.xml,2973,2131,2069,0.717,0.696
20,athen12-60-69-jan-15.xml,2774,1996,1938,0.72,0.699
21,athen12-70-81-jan-15.xml,3093,2145,2108,0.694,0.682
22,athen13-1-9-jan-15.xml,2155,1424,1467,0.661,0.681
23,athen13-10-19-jan-15.xml,2410,1678,1697,0.696,0.704
24,athen13-20-29-jan-15.xml,2624,1657,1768,0.631,0.674
25,athen13-30-39-jan-15.xml,2512,1784,1818,0.71,0.724
26,athen13-40-49-jan-15.xml,3319,1960,2197,0.591,0.662
27,athen13-50-59-jan-15.xml,2458,1636,1707,0.666,0.694
28,athen13-60-69-jan-15.xml,2397,1671,1716,0.697,0.716
29,athen13-70-79-jan-15.xml,2574,1834,1976,0.713,0.768
30,athen13-80-89-jan-15.xml,3058,2368,2521,0.774,0.824
31,athen13-90-95-jan-15.xml,1458,1101,1120,0.755,0.768
32,dem-59-neaira-2019.xml,10485,7358,7499,0.702,0.715
33,demosthenes-1-bu1.xml,2193,1439,1391,0.656,0.634
34,demosthenes-18-1-50-bu2.xml,4150,2804,2699,0.676,0.65
35,demosthenes-18-101-150-bu2.xml,4278,2820,2831,0.659,0.662
36,demosthenes-18-151-200-bu2.xml,4254,2901,2846,0.682,0.669
37,demosthenes-18-201-275-bu1.xml,5642,3671,3648,0.651,0.647
38,demosthenes-18-276-324-bu1.xml,3857,2521,2566,0.654,0.665
39,demosthenes-18-51-100-bu1.xml,4036,2651,2734,0.657,0.677
40,demosthenes-4-phil1-bu1.xml,3914,2532,2473,0.647,0.632
41,demosthenes-46-tree.xml,2160,1479,1474,0.685,0.682
42,demosthenes-47-tree.xml,6227,4311,4276,0.692,0.687
43,demosthenes-49-tree.xml,5000,3548,3579,0.71,0.716
44,demosthenes-50-tree.xml,5303,3716,3567,0.701,0.673
45,demosthenes-52-tree.xml,2484,1781,1722,0.717,0.693
46,demosthenes-53-tree.xml,2336,1602,1533,0.686,0.656
47,diodsic-11-1-20-bu4.xml,6234,5192,5268,0.833,0.845
48,diodsic-11-81-92-bu1.xml,2990,2413,2490,0.807,0.833
49,diodsic11-21-40-bu2.xml,5808,4746,4884,0.817,0.841
50,diodsic11-41-60-bu1.xml,5161,4224,4317,0.818,0.836
51,diodsic11-61-80-bu1.xml,5453,4491,4685,0.824,0.859
52,dion-hal-1-1-15-bu2.xml,4576,3286,3169,0.718,0.693
53,dion-hal-1-16-30-bu1.xml,4625,3376,3185,0.73,0.689
54,dion-hal-1-31-45-bu1.xml,4697,3439,3247,0.732,0.691
55,dion-hal-1-46-60-bu1.xml,5233,3749,3647,0.716,0.697
56,dion-hal-1-61-75-bu1.xml,4946,3669,3488,0.742,0.705
57,dion-hal-1-76-90-bu1.xml,6043,4439,4225,0.735,0.699
58,hdt-1-1-19-bu3-2019.xml,2557,2011,1971,0.786,0.771
59,hdt-1-100-119-bu3-2019.xml,3144,2506,2477,0.797,0.788
60,hdt-1-120-149-bu2-2019.xml,4226,3303,3236,0.782,0.766
61,hdt-1-150-169-bu3-2019.xml,2501,1946,1979,0.778,0.791
