,@form,gorman_lemma_1,gorman_lemma_2,gpt_lemma_1,gpt_lemma_2,postag_1,postag_2,postag_3,postag_4,lemma_pedalion_1,lemma_pedalion_2,lemma_pedalion_3,lemma_pedalion_4,lemma_pedalion_5,lemma_pedalion_6,lemma_pedalion_7,lemma_pedalion_8,lemma_pedalion_9,lemma_pedalion_10,lemma_pedalion_11,lemma_pedalion_12,lemma_pedalion_13,lemma_pedalion_14,lemma_pedalion_15,lemma_pedalion_16,lemma_pedalion_17
9,ὃ,ὁ,ὅς,,,l-s---mn-,p-s---nn-,p-s---na-,,,,,,,,,,,,,,,,,,
12,τοῦθ᾽,οὗτος,,,,p-s---na-,,,,,,,,,,,,,,,,,,,,
15,φοβηθεὶς,φοβέω,,,,v-sappmn-,,,,,,,,,,,,,,,,,,,,
18,λῃτουργίας,λειτουργία,,,,n-p---fa-,,,,,,,,,,,,,,,,,,,,
19,ἀπέδοτο,ἀποδίδωμι,,,,v3saim---,,,,,,,,,,,,,,,,,,,,
26,ἀρτίως,ἄρτιος,,,,d--------,,,,,,,,,,,,,,,,,,,,
27,εἰρημένων,,,,,v-prpeng-,,,,λέγω,,,,,,,,,,,,,,,,
29,Κηφισιᾶσιν,Κηφισιᾶσιν,,,,d--------,,,,,,,,,,,,,,,,,,,,
31,Ἀμφιτροπῆσιν,Ἀμφιτροπῆσιν,,,,d--------,,,,,,,,,,,,,,,,,,,,
36,ἀργυρείοις,ἀργύρειος,,,,a-p---nd-,,,,,,,,,,,,,,,,,,,,
42,Θρασύλλῳ,Θράσυλλος,,,,n-s---md-,,,,,,,,,,,,,,,,,,,,
45,ταῦτ᾽,οὗτος,,,,p-p---na-,,,,,,,,,,,,,,,,,,,,
48,ἐρῶ,,,,,v1sfia---,,,,λέγω,,,,,,,,,,,,,,,,
69,πρῶτος,,,πρῶτος,,a-s---mns,,,,,,,,,,,,,,,,,,,,
72,ἀνεμήτου,ἀνέμητος,,,,a-s---fg-,,,,,,,,,,,,,,,,,,,,
98,τι,τις,,,,p-s---na-,a-s---na-,p-s---nn-,,,,,,,,,,,,,,,,,,
