,@form,gorman_lemma_1,gorman_lemma_2,gpt_lemma_1,gpt_lemma_2,postag_1,postag_2,postag_3,postag_4,postag_5,lemma_pedalion_1,lemma_pedalion_2,lemma_pedalion_3,lemma_pedalion_4,lemma_pedalion_5,lemma_pedalion_6,lemma_pedalion_7,lemma_pedalion_8,lemma_pedalion_9,lemma_pedalion_10,lemma_pedalion_11,lemma_pedalion_12,lemma_pedalion_13,lemma_pedalion_14,lemma_pedalion_15,lemma_pedalion_16,lemma_pedalion_17
3,ἄπειρος,,,ἄπειρος,,a-s---mn-,,,,,,,,,,,,,,,,,,,,,
7,δεινῶς,δεινός,,,,d--------,,,,,,,,,,,,,,,,,,,,,
9,ἀπόρως,ἄπορος,,,,d--------,,,,,,,,,,,,,,,,,,,,,
27,ἐπεξιόντι,ἐπέξειμι,,,,v-sppamd-,,,,,,,,,,,,,,,,,,,,,
28,ἀναγκαίως,ἀναγκαῖος,,,,d--------,,,,,,,,,,,,,,,,,,,,,
30,ἥκιστα,κακός,,,,a-p---nas,,,,,,,,,,,,,,,,,,,,,
32,ἐν,,,,,r--------,,,,,ἐν,,,,,,,,,,,,,,,,
38,ἀδελφῶν,ἀδελφός,,,,n-p---mg-,,,,,,,,,,,,,,,,,,,,,
53,εἰκὸς,ἔοικα,,,,v-srpann-,,,,,,,,,,,,,,,,,,,,,
56,τεθνεῶτι,θνῄσκω,,,,v-srpamd-,,,,,,,,,,,,,,,,,,,,,
59,δʼ,δέ,,,,c--------,d--------,,,,,,,,,,,,,,,,,,,,
63,τ-,ὁ,τε,,,l-s---nn-,c--------,l-s---na-,l-s---mg-,l-p---na-,,,,,,,,,,,,,,,,,
64,ἀναντία,ἐναντίος,,,,a-p---nn-,a-p---na-,,,,,,,,,,,,,,,,,,,,
68,φονῆς,,,φονή,,n-s---fg-,,,,,,,,,,,,,,,,,,,,,
71,γραφὴ,γραφὴ,,,,n-s---fn-,,,,,,,,,,,,,,,,,,,,,
72,λέγει,,,λέγω,,v3spia---,,,,,,,,,,,,,,,,,,,,,
79,προβουλῆς,προβουλή,,,,n-s---fg-,,,,,,,,,,,,,,,,,,,,,
87,ἀλλὰ,ἀλλὰ,,,,c--------,d--------,,,,,,,,,,,,,,,,,,,,
93,ἐπʼ,ἐπί,,,,r--------,,,,,,,,,,,,,,,,,,,,,
110,καταψηφίσεως,καταψήφισις,,,,n-s---fg-,,,,,,,,,,,,,,,,,,,,,
114,τεθνηκότι,θνῄσκω,,,,v-srpamd-,,,,,,,,,,,,,,,,,,,,,
117,ἀπολελειμμένῳ,,,ἀπολείπω,,v-srpemd-,,,,,,,,,,,,,,,,,,,,,
123,τεθνεῶτος,θνῄσκω,,,,v-srpamg-,,,,,,,,,,,,,,,,,,,,,
126,τίνας,τις,,,,a-p---ma-,,,,,,,,,,,,,,,,,,,,,
130,ἢ,,ἢ,,,c--------,,,,,,,,,,,,,,,,,,,,,
139,ἥντινά,ὅστις,,,,a-s---fa-,,,,,,,,,,,,,,,,,,,,,
140,ποτε,ποτέ,,,,d--------,,,,,,,,,,,,,,,,,,,,,
158,ἀκουσίως,ἀκούσιος,,,,d--------,,,,,,,,,,,,,,,,,,,,,
159,ἀποθανόντος,,,ἀποθνῄσκω,,v-sapamg-,,,,,,,,,,,,,,,,,,,,,
160,ἑκουσίως,ἑκούσιος,,,,d--------,,,,,,,,,,,,,,,,,,,,,
165,γʼ,,γε,,,d--------,,,,,,,,,,,,,,,,,,,,,
166,ἐρεῖ,,,,,v3spia---,,,,,λέγω,,,,,,,,,,,,,,,,
169,ὅτι,,,ὅτι,,c--------,,,,,,ὅστις,,,,,,,,,,,,,,,
178,σαφῶς,σαφής,,,,d--------,,,,,,,,,,,,,,,,,,,,,
183,τοῦτʼ,οὗτος,,,,p-s---nn-,p-s---na-,,,,,,,,,,,,,,,,,,,,
192,ἀληθῶς,ἀληθής,,,,d--------,,,,,,,,,,,,,,,,,,,,,
196,τʼ,,τε,,,d--------,c--------,,,,,,,,,,,,,,,,,,,,
198,ἂν,,,ἄν,,d--------,c--------,,,,,ἐάν,,,,,,,,,,,,,,,
