,@form,gorman_lemma_1,gorman_lemma_2,gorman_lemma_3,gpt_lemma_1,gpt_lemma_2,postag_1,postag_2,postag_3,postag_4,lemma_pedalion_1,lemma_pedalion_2,lemma_pedalion_3,lemma_pedalion_4,lemma_pedalion_5,lemma_pedalion_6,lemma_pedalion_7,lemma_pedalion_8,lemma_pedalion_9,lemma_pedalion_10,lemma_pedalion_11,lemma_pedalion_12,lemma_pedalion_13,lemma_pedalion_14,lemma_pedalion_15,lemma_pedalion_16,lemma_pedalion_17
5,ἀπέθανον,,,,ἀποθνῄσκω,,v3paia---,,,,,,,,,,,,,,,,,,,,
8,τῶν,ὁ,ὅς,,,,l-p---mg-,l-p---ng-,l-p---fg-,p-p---ng-,,,,,,,,,,,,,,,,,
16,οἱ,ὁ,ἕ,,,,l-p---mn-,p3s---md-,,,,,,,,,,,,,,,,,,,
17,τοῦ,ὁ,ὅς,,,,l-s---mg-,l-s---ng-,p-s---ng-,,,,,,,,,,,,,,,,,,
22,ἐπιόντες,ἔπειμι,,,,,v-pppamn-,,,,,,,,,,,,,,,,,,,,
32,ἐς,εἰς,,,,,r--------,,,,,,,,,,,,,,,,,,,,
37,φίλους,,,,φίλος,,n-s---ng-,,,,,,,,,,,,,,,,,,,,
44,συναγαγὼν,συνάγω,,,,,v-sapamn-,,,,,,,,,,,,,,,,,,,,
54,ὅτι,,,,ὅτι,,c--------,,,,,ὅστις,,,,,,,,,,,,,,,
70,ἢ,,,,ἤ,,d--------,c--------,,,,,,,,,,,,,,,,,,,
71,ταμίας,,,,ταμίας,,n-p---ma-,,,,,ταμία,,,,,,,,,,,,,,,
123,τῶνδε,ὅδε,,,,,p-p---mg-,p-p---ng-,,,,,,,,,,,,,,,,,,,
124,ἀδοκήτως,ἀδόκητος,,,,,d--------,,,,,,,,,,,,,,,,,,,,
132,ἱεροῖς,ἱερόν,,,ἱερός,,n-p---nd-,,,,,,,,,,,,,,,,,,,,
142,-δὲ,δέ,,,,,d--------,c--------,,,,,,,,,,,,,,,,,,,
146,τοσοῖσδε,τοσόσδε,,,,,p-p---nd-,,,,,,,,,,,,,,,,,,,,
187,ἐσφορᾶς,εἰσφορά,,,,,n-s---fg-,,,,,,,,,,,,,,,,,,,,
192,ὅλως,ὅλος,,,,,d--------,,,,,,,,,,,,,,,,,,,,
204,ἡλίσκετο,ἁλίσκομαι,,,,,v3siie---,,,,,,,,,,,,,,,,,,,,
214,μετῄει,μέτειμι,,,,,v3siia---,,,,,,,,,,,,,,,,,,,,
225,ἐκτρύχων,,,,ἐκτρύχω,,v3piia---,,,,,,,,,,,,,,,,,,,,
230,ἐπῴκιζεν,,,,ἐποικίζω,,v3siia---,,,,,,,,,,,,,,,,,,,,
234,τήν,ὅς,ὁ,,,,p-s---fa-,l-s---fa-,,,,,,,,,,,,,,,,,,,
235,γῆν,γῆ,,,,,n-s---fa-,,,,,,,,,,,,,,,,,,,,
237,τούσδε,ὅδε,,,,,p-p---ma-,,,,,,,,,,,,,,,,,,,,
250,βεβαίως,βέβαιος,,,,,d--------,,,,,,,,,,,,,,,,,,,,
253,εἴη,εἰμί,,,,,v3spoa---,v3siia---,,,,,,,,,,,,,,,,,,,
255,ὑπερηγωνίζοντο,ὑπεραγωνίζομαι,,,,,v3piie---,,,,,,,,,,,,,,,,,,,,
256,μεταστάντος,μεθίστημι,,,,,v-sapamg-,,,,,,,,,,,,,,,,,,,,
257,τάδε,ὅδε,,,,,p-p---nn-,p-p---na-,,,,,,,,,,,,,,,,,,,
273,-δʼ,δέ,,,,,d--------,c--------,,,,,,,,,,,,,,,,,,,
283,ἐπεδημηγόρησε,ἐπιδημηγορέω,,,,,v3saia---,,,,,,,,,,,,,,,,,,,,
284,κατέκανε,κατακαίνω,,,,,v3saia---,,,,,,,,,,,,,,,,,,,,
293,πλὴν,πλήν,,,,,r--------,,,,,,,,,,,,,,,,,,,,
300,Ἰβηρίαν,,,,Ἰβηρία,,n-s---fa-,,,,,,,,,,,,,,,,,,,,
318,οἳ,ἕ,ὁ,ὅς,,,p-s---md-,l-p---mn-,p-p---mn-,,,,,,,,,,,,,,,,,,
324,ἐψηφίζοντο,,,,ψηφίζω,,v3piie---,,,,,,,,,,,,,,,,,,,,
334,Εὐτυχοῦς,εὐτυχής,,,,,a-s---mg-,,,,,,,,,,,,,,,,,,,,
344,που,πού,,,,,d--------,,,,,,,,,,,,,,,,,,,,
353,ἀπεικὸς,ἀπέοικα,,,,,v-srpann-,,,,,,,,,,,,,,,,,,,,
363,ἀγχοτάτω,ἀγχοτάτω,,,,,d--------,,,,,,,,,,,,,,,,,,,,
372,πείθεὸ,πείθω,,,,,v2spme---,,,,,,,,,,,,,,,,,,,,
373,Ῥωμαῖε,,,,Ῥωμαῖος,,a-s---mv-,,,,,,,,,,,,,,,,,,,,
379,μεμελημένη,,,,μέλω,,v-srpefn-,,,,,,,,,,,,,,,,,,,,
392,περιμήκετον,περιμήκετος,,,,,a-s---nn-,,,,,,,,,,,,,,,,,,,,
394,Καρῶν,Κάρ,,,,,n-p---mg-,,,,,,,,,,,,,,,,,,,,
395,ναίουσιν,,,,ναίω,,v3ppia---,,,,,,,,,,,,,,,,,,,,
399,ᾗ,,ὅς,,,,d--------,p-s---fd-,,,,,,,,,,,,,,,,,,,
404,σοι,,σύ,,,,p2s---md-,p2s----d-,,,,,,,,,,,,,,,,,,,
416,τόνδε,ὅδε,,,,,p-s---na-,a-s---ma-,p-s---ma-,,,,,,,,,,,,,,,,,,
422,εἶδον,,,,ὁράω,,v1saia---,,,,,,,,,,,,,,,,,,,,
449,ἀποθάνοι,,,,ἀποθνῄσκω,,v3saoa---,,,,,,,,,,,,,,,,,,,,
464,ἄρχοντα,ἄρχω,,,ἄρχων,,v-sppama-,,,,,,,,,,,,,,,,,,,,
467,ἂν,,,,ἄν,,d--------,,,,,ἐάν,,,,,,,,,,,,,,,
470,ἀρχαιρέσια,ἀρχαιρέσια,,,,,n-p---na-,,,,,,,,,,,,,,,,,,,,
477,ποτε,ποτέ,,,,,d--------,,,,ποτέ,,,,,,,,,,,,,,,,
491,ἐτεθνήκεσαν,θνῄσκω,,,,,v3plia---,,,,,,,,,,,,,,,,,,,,
494,βουλῇ,,βουλή,,,,n-s---md-,n-s---fd-,,,,,,,,,,,,,,,,,,,
500,ἐτεθνήκει,θνῄσκω,,,,,v3slia---,,,,,,,,,,,,,,,,,,,,
512,παρόντι,πάρειμι,,,,,v-sppand-,,,,,,,,,,,,,,,,,,,,
531,νοῦς,νόος,,,,,n-s---mn-,,,,,,,,,,,,,,,,,,,,
545,σφίσιν,σφεῖς,,,,,p3p---md-,,,,,,,,,,,,,,,,,,,,
555,θέλοι,,,,θέλω,,v3spoa---,,,,,,,,,,,,,,,,,,,,
565,πρῶτον,πρῶτος,,,,,a-s---nas,a-s---mas,,,,,,,,,,,,,,,,,,,
582,οὕτω,οὕτως,,,,,d--------,,,,,,,,,,,,,,,,,,,,
583,βασιλεῦσιν,βασιλεύς,,,,,n-p---md-,,,,,,,,,,,,,,,,,,,,
586,ὀλυμπιάδας,ὀλυμπιάς,,,,,n-p---fa-,,,,,,,,,,,,,,,,,,,,
587,χρησάμενοι,χράω,,,,,v-papmmn-,,,,,,,,,,,,,,,,,,,,
595,ἐπειρῶντο,πειράω,,,,,v3piie---,,,,,,,,,,,,,,,,,,,,
