form;lemma;postag
τετειχισμένου;['τειχίζω'];['v-srpemg-']
Κράθιος;['Κρᾶθις'];['n-s---mg-']
χῶροι;['χῶρος'];['n-p---mn-']
Ἀχαΐᾳ;['Ἀχαία'];['n-s---fd-']
ἦσαν;['εἰμί'];[]
βληθέντα;['βάλλω'];['v-sappma-']
Σηστοῦ;['Σηστός'];['n-s---fg-']
πραγματεία;['πραγματεία'];['a-p---na-']
καρποῦσθαι;['καρπόω'];['v--pne---']
εἰσερρύη;['εἰσρέω'];['v3saip---']
προβάτοισι;['πρόβατον '];[]
ξυλίνου;['ξύλινος'];['a-s---mg-']
δεῖξαι;['δείκνυμι'];['v--ana---', 'v2samm---']
πολὺ;['πολύς'];['a-s---na-']
μέγιστοι;['μέγας'];['a-p---mns']
θαυμασιωτέραν;['θαυμάσιος'];['a-s---fac']
εἶδέ;['ὁράω'];['v3saia---']
βουκόλου;['βουκόλος'];['n-s---mg-']
συνάπτουσιν;['συνάπτω'];['v3ppia---']
μέλανα;['μέλας'];['a-s---ma-']
πανοικίᾳ;['πανοικίᾳ'];['d--------']
δίδου;['δίδωμι'];['v2spme---']
δρᾶμα;['δρᾶμα'];['n-s---na-']
οἵ;['ὁ'];['l-p---mn-']
διεγγυηθέντες;['διεγγυάω'];['v-pappmn-']
Οὐηστῖνοι;['Οὐηστῖνοι'];['n-p---mn-']
παίδευσις;['παίδευσις'];['n-s---fn-']
ἥττης;['ἧσσα'];['n-s---fg-']
μνημονεύοντας;['μνημονεύω'];['v-pppama-']
ἀπέκτεινας;['ἀποκτείνω'];['v2saia---']
ἀποκοιτοῦντας;['ἀποκοιτέω'];['v-pppama-']
χῶροί;['χῶρος'];['n-p---mn-']
βασιλικὴν;['βασιλικός'];['a-s---fa-']
μελήσειν;['μέλω'];['v--fna---']
κλεισιάδας;['κλεισιάς'];['n-p---fa-']
περιεστηκότων;['περιίστημι'];['v-prpamg-']
συμψήσας;['συμψάω'];['v-sapamn-']
χρήσεις;['χρῆσις'];['n-p---fa-']
τρισμυρίων;['τρισμύριοι'];['a-p---mg-']
ἀνόσι᾽;['ἀνόσιος'];['a-p---na-']
ἐγράφη;['γράφω'];[]
προσιστορῶν;['προσιστορέω'];['v-sppamn-']
Φθιῶτιν;['Φθιῶτις'];['n-s---fa-']
ἐθισμοῖς;['ἐθισμός'];['n-p---md-']
κατελελοίπει;['καταλείπω'];['v3slia---']
ἐβασίλευεν;['βασιλεύω'];['v3siia---']
καταλυθῆναι;['καταλύω'];['v--anp---']
εἴληχα;['λαγχάνω'];['v1sria---']
Θυμβράροις;['Θύμβραρα'];['n-p----d-']
νομοθετῶν;['νομοθέτης'];['n-p---mg-']
δύναντος;['δύναμαι'];['v-sapamg-']
δεησομένους;['δέω'];['v-pfpmma-']
λουτρῶν;['λουτρόν'];['n-p---ng-']
περιεὼν;['περίειμι'];['v-sppamn-']
ἐσιώπα;['σιωπάω'];[]
τοῦθ’;['οὗτος'];[]
ποτέρα;['πότερος'];['a-s---fn-', 'a-d---fn-']
περιοικεόντων;['περιοικέω'];['v-pppamg-']
πιστῷ;['πιστός'];['a-s---md-', 'n-s---nd-']
Συρακούσας;['Συράκουσαι'];['n-p---fa-']
αὐταῦ;[];['p-s---ma-']
διατρεφόμενον;['διατρέφω'];['v-sppema-']
αἰσχυνομένων;['αἰσχύνω'];['v-pppemg-']
ἀνεπαύετο;['ἀναπαύω'];['v3siie---']
κυοῦσα;['κυέω'];['v-sppafn-']
ἐκπεριελθόντων;['ἐκπεριέρχομαι'];['v-papamg-']
συνεστρέχοντας;['συνειστρέχω'];['v-pppama-']
αἱρούμενοι;['αἱρέω'];['v-pppemn-']
Νομάσιν;['Νομάς'];['n-p---md-']
δηλοῦντος;['δηλόω'];['v-sppamg-']
κατήντησεν;['καταντάω'];['v3saia---']
βουληθῇς;['βούλομαι'];['v2sasp---']
ἀνακεῖσθαί;['ἀνακέομαι', 'ἀνάκειμαι'];['v--pne---']
πρωτείου;['πρώτειος'];['a-s---ng-']
ἐνδύντα;['ἐνδύω'];['v-sapama-']
θώματος;['θαῦμα'];['n-s---ng-']
ἀήττητον;['ἀήσσητος'];['a-s---fa-']
στεφανωθεῖσα;['στεφανόω'];['v-sappfn-']
ἐβασίλευε;['βασιλεύω'];[]
πορευθεὶς;['πορεύω'];['v-sappmn-']
μεταγενεστέροις;['μεταγενής'];['a-p---mdc']
χρεία;['χρεία'];['n-p---nn-']
οὖσί;['εἰμί'];['v-pppand-']
κατασκευῆς;['κατασκευή'];['n-s---fg-']
ἀπηγγέλλετο;['ἀπαγγέλλω'];['v3siie---']
ἐνεγκεῖν;['φέρω'];['v--ana---']
ταφῆς;['ταφή'];['n-s---fg-', 'n-p---mn-']
οὔμπαλιν;['ἔμπαλιν'];['d--------']
αἰχμαλωτίσι;['αἰχμαλωτίς'];['n-p---fd-']
κνυζούμενα;['κνυζέομαι'];['v-pppenn-']
ἀκεῖνον;['ἐκεῖνος'];['p-s---ma-']
φιλαργυρίας;['φιλαργυρία'];['n-s---fg-']
ἐκτείνοντι;['ἐκτείνω'];['v-sppamd-']
