;id;form;lemma;pos_tag
0;620;Αλεκτρυόνα;['Αλεκτρυών'];['n-s---ma-']
1;11860;Αἰγέος;['Αἰγέος'];['n-s---mg-']
2;8860;Αἰγέστου;['Αἰγέστης', 'Αἴγεστος'];['n-s---mg-']
3;8877;Αἰγέστῃ;['Αἴγεστα'];['n-s---fd-']
4;8780;Αἰγέστῳ;['Αἰγέστης', 'Αἴγεστος'];['n-s---md-']
5;3016;Αἰγίνης;['Αἴγινα'];['n-s---fg-']
6;980;Αἰγίνῃ;['Αἴγινα'];['n-s---fd-']
7;11341;Αἰγαῖαι;['Αἰγαῖαι'];['n-p---fn-']
8;16719;Αἰγηΐδος;['Αἰγηίς'];['n-s---fg-']
9;11339;Αἰγιρόεσσα;['Αἰγιρόεσσα'];['n-s---fn-']
10;20880;Αἰγοσθενεῖ;['Αἰγοσθενεύς'];['a-s---md-']
11;12401;Αἰγυπτίη;['Αἰγύπτιος'];['a-s---fn-']
12;15266;Αἰγυπτίοις;['Αἰγύπτιος'];['n-p---md-']
13;1579;Αἰγυπτίου;['Αἰγύπτιος'];['a-s---ng-']
14;11093;Αἰγυπτίους;['Αἰγύπτιος'];['a-p---ma-']
15;12063;Αἰγυπτίῃσι;['Αἰγύπτιος'];['n-p---fd-']
16;1183;Αἰγύπτου;['Αἴγυπτος'];['n-s---fg-']
17;11170;Αἰγύπτῳ;['Αἴγυπτος'];['n-s---fd-']
18;16872;Αἰγὸς;['Αἴξ'];['n-s---mg-']
19;23355;Αἰγῇδος;['Αἰγηίς'];['n-s---fg-']
20;20345;Αἰγῦτιν;['Αἰγῦτις'];['n-s---fa-']
21;8082;Αἰζειοὶ;['Αἰζειός'];['n-p---mn-']
22;7994;Αἰζειοῦ;['Αἰζειός'];['n-s---mg-']
23;17884;Αἰθίοπας;['Αἰθίοψ'];['n-p---ma-']
24;25217;Αἰκουλάνῳ;['Αἰκούλανον'];['n-s---nd-']
25;9041;Αἰνείαν;['Αἰνείας'];['n-s---fa-', 'n-s---ma-']
26;8888;Αἰνείαο;['Αἰνείας'];['n-s---mg-']
27;8808;Αἰνείεω;['Αἰνείας'];['n-s---mg-']
28;8809;Αἰνείης;['Αἰνείας'];['n-s---mn-']
29;8798;Αἰνείου;['Αἰνείας'];['n-s---mg-']
30;8840;Αἰνειάδος;['Αἰνειάς'];['a-s---fg-']
31;19874;Αἰνιᾶνα;['Αἰνιάν'];['n-s---ma-']
32;22978;Αἰνιᾶνας;['Αἰνιάν'];['n-p---ma-']
33;6653;Αἰνιᾶνες;['Αἰνιάν'];['n-p---mn-']
34;4297;Αἰνιᾶσιν;['Αἰνιάν'];['n-p---md-']
35;3667;Αἰξωνέα;['Αἰξωνεύς'];['n-s---fa-']
36;22770;Αἰξωνέων;['Αἰξωνεύς'];['n-p---mg-']
37;9702;Αἰολέας;['Αἰολεύς'];['n-p---ma-']
38;13201;Αἰολέες;['Αἰολεύς'];['n-p---mn-']
39;11345;Αἰολέων;['Αἰολεύς'];['n-p---mg-']
40;22818;Αἰολίδας;['Αἰολίς'];['n-p---fa-']
41;11329;Αἰολίδες;['Αἰολίς'];['n-p---fn-']
42;22805;Αἰολίδος;['Αἰολίς'];['n-s---fg-']
43;22806;Αἰολὶς;['Αἰολίς'];['n-s---fn-']
44;17072;Αἰσκυλίαις;['Αἰσκυλία'];['n-p---fd-']
45;25271;Αἰσκυλείας;['Αἰσκύλειος'];['a-p---fa-']
46;25274;Αἰσκύλειον;['Αἰσκύλειος'];['a-s---na-']
47;3042;Αἰσωπείᾳ;['Αἰσώπειος'];['n-s---fd-']
48;20579;Αἰτωλίαν;['Αἰτωλία'];['n-s---fa-']
49;19856;Αἰτωλοί;['Αἰτωλός'];['n-p---mn-']
50;20005;Αἰτωλούς;['Αἰτωλός'];['n-p---ma-']
51;19741;Αἰτωλοὶ;['Αἰτωλός'];['n-p---mn-']
52;19857;Αἰτωλοὺς;['Αἰτωλός'];['n-p---ma-']
53;19947;Αἰτωλοῖς;['Αἰτωλός'];['n-p---md-']
54;426;Αἰτωλῶν;['Αἰτωλός'];['n-p---mg-']
55;1547;Αἰόλῳ;['Αἴολος'];['n-s---md-']
56;9000;Αἱμονίας;['Αἱμονία'];['n-s---fg-']
57;2698;Αἲξ;['Αἴξ'];['n-s---fn-', 'n-s---mn-']
58;8871;Αἴγεσταν;['Αἴγεστα'];['n-s---fa-']
59;8865;Αἴγεστος;['Αἴγεστος'];['n-s---mn-']
60;13225;Αἴγυπτον;['Αἴγυπτος'];['n-s---fa-']
61;17448;Αἴγυπτος;['Αἴγυπτος'];['n-s---fn-']
62;18181;Αἴγων;['Αἴγων'];['n-s---mn-']
63;18179;Αἴγωνος;['Αἴγων'];['n-s---mg-']
64;1714;Αἴθραν;['Αἴθρη'];['n-s---fa-']
65;7701;Αἴλιοί;['Αἴλιος'];['n-p---mn-']
66;8828;Αἴνειαν;['Αἴνεια'];['n-s---ma-']
67;19763;Αἴνης;['Αἴνη'];['n-s---fg-']
68;2631;Αἴξ;['Αἴξ'];['n-s---fn-']
69;9593;Αἶαν;['Αἴας'];['n-s---mv-']
70;2629;Αἶγα;['Αἴξ'];['n-s---fa-']
71;14212;Αὐγούστου;['Αὔγουστος'];['n-s---mg-']
72;8578;Αὐεντίνῳ;['Αὐεντῖνος'];['n-s---nd-']
73;9412;Αὐεντῖνον;['Αὐεντῖνος'];['n-s---na-']
74;1852;Αὐλητρίδι;['αὐλητρίς'];['n-s---fd-']
75;22917;Αὐλῶνα;['Αὐλών'];['n-s---ma-']
76;22883;Αὐλῶνος;['Αὐλών'];['n-s---mg-']
77;8447;Αὐρωνίσσους;['Αὐρωνίσσοι'];['n-p---ma-']
78;8629;Αὐσονίαν;['Αὐσονία'];['n-s---fa-']
79;8058;Αὐσόνιος;['Αὐσόνιος'];['a-s---mn-']
80;8060;Αὐσόνων;['Αὐσόνιος'];['n-p---mg-']
81;760;Αὐτοκλέης;['Αὐτοκλέης'];['n-s---mn-']
82;25904;Αὐτοφραδάτην;['Αὐτοφραδάτης'];['n-s---ma-']
83;25902;Αὐτοφραδάτου;['Αὐτοφραδάτης'];['n-s---mg-']
84;2273;Αὔρας;['Αὔρας'];['n-p---ma-']
85;8533;Αὔσονες;['Αὐσόνιος'];['n-p---mn-']
86;11434;Βάκτριον;['Βάκτριον'];['n-s---nn-']
87;7253;Βάκτροις;['Βάκτρος'];['n-p---md-']
88;19922;Βάκτρων;['Βάκτρος'];['n-p---mg-']
