@id,@form,@lemma,@postag
1,εἰ,εἰ,c--------
2,μὴ,μή,d--------
3,καὶ,καί,d--------
4,ἐμὲ,ἐγώ,p1s---ma-
5,δεῖ,δεῖ,v3siia---
6,",",punc1,u--------
7,φησίν,φημί,v3spia---
8,",",punc1,u--------
9,ὑπακούειν,ὑπακούω,v--pna---
10,τοῖς,ὁ,l-p---md-
11,ὄχλοις,ὄχλος,n-p---md-
12,μὴ,μή,d--------
13,Δημοσθένην,Δημοσθένης,n-s---ma-
14,καλούμενον,καλέω,v-sppema-
15,",",punc1,u--------
16,ἀλλὰ,ἀλλά,c--------
17,Βάταλον,Βάταλος,n-s---ma-
18,",",punc1,u--------
19,ὅτι,ὅτι2,c--------
20,ταύτην,οὗτος,a-s---fa_
21,ἐξ,ἐκ,r--------
22,ὑποκορίσματος,ὑποκόρισμα,n-s---ng-
23,τίτθης,τίτθη,n-s---fg-
24,τὴν,ὁ,l-s---fa-
25,ἐπωνυμίαν,ἐπωνυμία,n-s---fa-
26,ἔχω,ἔχω,v1spia---
27,.,punc1,u--------
