@id,@form,@lemma,@postag
1,τῇ,ὁ,l-s---fd-
2,δ᾽,δέ,d--------
3,ὑστεραίᾳ,ὑστεραῖος,a-s---fd-
4,",",punc1,u--------
5,ἐπειδὴ,ἐπεί,c--------
6,ἀφανὴς,ἀφανής,a-s---mn-
7,ἦν,εἰμί,v3siia---
8,ὁ,ὁ,l-s---mn-
9,ἀνήρ,ἀνήρ,n-s---mn-
10,",",punc1,u--------
11,ἐζητεῖτο,ζητέω,v3siie---
12,οὐδέν,οὐδείς,p-s---nn-
13,τι,τις,a-s---nn_
14,μᾶλλον,μᾶλλον,d--------
15,ὑπὸ,ὑπό,r--------
16,τῶν,ὁ,l-p---mg-
17,ἄλλων,ἄλλος,p-p---mg-
18,ἢ,ἤ1,c--------
19,καὶ,καί,d--------
20,ὑπ᾽,ὑπό,r--------
21,ἐμοῦ,ἐγώ,p1s---mg-
22,:,punc1,u--------
23,ἐζητεῖτο,ζητέω,v3siie---
