@id,@form,@lemma,@postag
1,ἐπί,ἐπί,r--------
2,τε,τε,d--------
3,τούτοις,οὗτος,p-p---nd-
4,",",punc1,u--------
5,μεγίστοις,μέγας,a-p---nds
6,δὴ,δή,d--------
7,φανεῖσι,φαίνω,v-pappnd-
8,καὶ,καί,c--------
9,ἐς,εἰς,r--------
10,ἔκπληξιν,ἔκπληξις,n-s---fa-
11,ἅπαντας,ἅπας,a-p---ma-
12,ἐμβαλοῦσιν,ἐμβάλλω,v-papand-
13,",",punc1,u--------
14,εἷλε,αἱρέω,v3saia---
15,καὶ,καί,d--------
16,Αἴγυπτον,Αἴγυπτος,n-s---fa-
17,ἐπιπλεύσας,ἐπιπλέω,v-sapamn-
18,",",punc1,u--------
19,ἣ,ὅς,p-s---fn-
20,χρονιωτάτη,χρόνιος,a-s---fns
21,τε,τε,d--------
22,ἦν,εἰμί,v3siia---
23,ἐς,εἰς,r--------
24,τότε,τότε,d--------
25,καὶ,καί,c--------
26,δυνατωτάτη,δυνατός,a-s---fns
27,μετὰ,μετά,r--------
28,Ἀλέξανδρον,Ἀλέξανδρος,n-s---ma-
29,ἀρχὴ,ἀρχή,n-s---fn-
30,καὶ,καί,c--------
31,μόνη,μόνος,a-s---fn-
32,Ῥωμαίοις,Ῥωμαῖος,n-p---md-
33,ἔλειπεν,λείπω,v3siia---
34,ἐς,εἰς,r--------
35,τὰ,ὁ,l-p---na-
36,νῦν,νῦν,d--------
37,ὄντα,εἰμί,v-pppana-
38,",",punc1,u--------
39,ὥστε,ὥστε,c--------
40,Σεβαστὸς,Σεβαστὸς,n-s---mn-
41,εὐθὺς,εὐθύς2,d--------
42,ἐπὶ,ἐπί,r--------
43,τοῖς,ὁ,l-p---nd-
44,ἔργοις,ἔργον,n-p---nd-
45,",",punc1,u--------
46,ἔτι,ἔτι,d--------
47,περιών,περίειμι1,v-sppamn-
48,",",punc1,u--------
49,ὅδε,ὅδε,p-s---mn-
50,πρῶτος,πρῶτος,a-s---mn-
51,ὀφθῆναί,ὁράω,v--anp---
52,τε,τε,d--------
53,Ῥωμαίοις,Ῥωμαῖος,n-p---md-
54,καὶ,καί,c--------
55,κληθῆναι,καλέω,v--anp---
56,πρὸς,πρός,r--------
57,αὐτῶν,αὐτός,p-p---ng-
58,",",punc1,u--------
59,αὐτός,αὐτός,a-s---mn_
60,τε,τε,c--------
61,ἑαυτόν,ἑαυτοῦ,p-s---ma-
62,",",punc1,u--------
63,ὥσπερ,ὥσπερ,c--------
64,Γάιος,Γάιος,n-s---mn-
65,καὶ,καί,d--------
66,ἐς,εἰς,r--------
67,τὸ,ὁ,l-s---na-
68,δυνατώτερον,δυνατός,a-s---nac
69,ἔτι,ἔτι,d--------
70,Γαΐου,Γάιος,n-s---mg-
71,",",punc1,u--------
72,ἄρχοντα,ἄρχω,v-sppama-
73,ἀποφῆναι,ἀποφαίνω,v--ana---
74,τῇ,ὁ,l-s---fd-
75,τε,τε,d--------
76,πατρίδι,πατρίς,n-s---fd-
77,καὶ,καί,c--------
78,τοῖς,ὁ,l-p---nd-
79,ὑπʼ,ὑπό,r--------
80,αὐτὴν,αὐτός,p-s---fa-
81,ἔθνεσιν,ἔθνος,n-p---nd-
82,ἅπασιν,ἅπας,a-p---nd-
83,",",punc1,u--------
84,οὐδὲν,οὐδείς,a-s---na_
85,αἱρέσεως,αἵρεσις,n-s---fg-
86,ἢ,ἤ1,d--------
87,χειροτονίας,χειροτονία,n-s---fg-
88,ἢ,ἢ,c--------
89,προσποιήματος,προσποίημα,n-s---ng-
90,ἔτι,ἔτι,d--------
91,δεηθείς,δέω2,v-sappmn-
92,.,punc1,u--------
93,ἦρξε,ἄρχω,v3saia---
