@id,@form,@lemma,@postag
1,καὶ,καί,d--------
2,ἐπὶ,ἐπί,r--------
3,τῷδε,ὅδε,p-s---nd-
4,Καῖσαρ,Καῖσαρ,n-s---mn-
5,μὲν,μέν,d--------
6,ἐξ,ἐκ,r--------
7,Ἀχερρῶν,Ἀχέρραι,n-p---fg-
8,ἀνεζεύγνυεν,ἀναζεύγνυμι,v3siia---
9,",",punc1,u--------
10,Οὐιδακιλίῳ,Οὐιδακίλιος,n-s---md-
11,δʼ,δέ,c--------
12,ἐν,ἐν,r--------
13,Ἰαπυγίᾳ,Ἰαπυγία,n-s---fd-
14,προσετίθεντο,προστίθημι,v3piie---
15,Κανύσιοι,Κανύσιος,n-p---mn-
16,καὶ,καί,d--------
17,Οὐενούσιοι,Οὐενούσιοι,n-p---mn-
18,καὶ,καί,c--------
19,ἕτεραι,ἕτερος,a-p---fn-
20,πόλεις,πόλις,n-p---fn-
21,πολλαί,πολύς,a-p---fn-
22,.,punc1,u--------
