@id,@form,@lemma,@postag
1,διὸ,διό,d--------
2,ὅσοις,ὅσος,a-p---md-
3,ἐξουσία,ἐξουσία,n-s---fn-
4,μὴ,μή,d--------
5,αὐτοὺς,αὐτός,p-p---ma-
6,κακοπαθεῖν,κακοπαθέω,v--pna---
7,",",punc1,u--------
8,ἐπίτροπός,ἐπίτροπος,a-s---mn-
9,τις,τις,a-s---mn_
10,λαμβάνει,λαμβάνω,v3spia---
11,ταύτην,οὗτος,a-s---fa_
12,τὴν,ὁ,l-s---fa-
13,τιμήν,τιμή,n-s---fa-
14,",",punc1,u--------
15,αὐτοὶ,αὐτός,p-p---mn-
16,δὲ,δέ,c--------
17,πολιτεύονται,πολιτεύω,v3ppie---
18,ἢ,ἢ,c--------
19,φιλοσοφοῦσιν,φιλοσοφέω,v3ppia---
20,.,punc1,u--------
21,ἐστιν,εἰμί,v3spia---
