@id,@form,@lemma,@postag
1,τὰ,ὁ,l-p---nn-
2,δ᾽,δέ,d--------
3,ἀναλώματα,ἀνάλωμα,n-p---nn-
4,λέγεται,λέγω3,v3spie---
5,τῆς,ὁ,l-s---fg-
6,ἡμέρας,ἡμέρα,n-s---fg-
7,εἰς,εἰς,r--------
8,τὸν,ὁ,l-s---ma-
9,βασιλέα,βασιλεύς,n-s---ma-
10,καὶ,καί,d--------
11,τὰς,ὁ,l-p---fa-
12,περὶ,περί,r--------
13,αὐτὸν,αὐτός,p-s---ma-
14,γυναῖκας,γυνή,n-p---fa-
15,καὶ,καί,c--------
16,φίλους,φίλος,n-p---ma-
17,γίνεσθαι,γίγνομαι,v--pne---
18,τάλαντα,τάλαντον,n-p---nn-
19,πεντεκαίδεκα,πεντεκαίδεκα,a-_---___
20,Βαβυλώνια,Βαβυλώνιος,a-p---nn-
21,.,punc1,u--------
