@id,@form,@lemma,@postag
1,ἐκείνῳ,ἐκεῖνος,p-s---md-
2,μὲν,μέν,d--------
3,γὰρ,γάρ,d--------
4,ἥ,ὁ,l-s---fn-
5,τε,τε,d--------
6,Ἀσία,Ἀαία,n-s---fn-
7,ὅλη,ὅλος,a-s---fn-
8,χορηγεῖ,χορηγέω,v3spia---
9,...,punc1,u--------
10,",",punc1,u--------
11,τὸ,ὁ,l-s---nn-
12,δὲ,δέ,c--------
13,Διονυσίου,Διονύσιον,n-s---mg-
14,χορηγεῖον,χορηγεῖον,n-s---nn-
15,παντελῶς,παντελής,d--------
16,ἂν,ἄν1,d--------
17,εὐτελές,εὐτελής,a-s---nn-
18,τι,τις,p-s---nn-
19,φανείη,φαίνω,v3saop---
20,πρὸς,πρός,r--------
21,ἐκεῖνο,ἐκεῖνος,p-s---na-
22,συγκρινόμενον,συγκρίνω,v-sppenn-
23,.,punc1,u--------
