@id,@form,@lemma,@postag
1,ψηφισαμένου,ψηφίζομαι,v-sapemg-
2,γὰρ,γάρ,d--------
3,τοῦ,ὁ,l-s---mg-
4,δήμου,δῆμος,n-s---mg-
5,τοῦ,ὁ,l-s---mg-
6,Ἀθηναίων,Ἀθήναιος,n-p---mg-
7,Ἀθηναῖον,Ἀθηναῖος,a-s---ma-
8,εἶναι,εἰμί,v--pna---
9,Πασίωνα,,
10,καὶ,καί,c--------
11,ἐκγόνους,ἔκγονος,a-p---ma-
12,τοὺς,ὁ,l-p---ma-
13,ἐκείνου,ἐκεῖνος,p-s---mg-
14,διὰ,διά,r--------
15,τὰς,ὁ,l-p---fa-
16,εὐεργεσίας,εὐεργεσία,n-p---fa-
17,τὰς,ὁ,l-p---fa-
18,εἰς,εἰς,r--------
19,τὴν,ὁ,l-s---fa-
20,πόλιν,πόλις,n-s---fa-
21,",",punc1,u--------
22,ὁμογνώμων,ὁμογνώμων,a-s---mn-
23,καὶ,καί,d--------
24,ὁ,ὁ,l-s---mn-
25,πατὴρ,πατήρ,n-s---mn-
26,ἐγένετο,γίγνομαι,v3saim---
27,ὁ,ὁ,l-s---mn-
28,ἐμὸς,ἐμός,a-s---mn-
29,τῇ,ὁ,l-s---fd-
30,τοῦ,ὁ,l-s---mg-
31,δήμου,δῆμος,n-s---mg-
32,δωρεᾷ,δωρεά,n-s---fd-
33,",",punc1,u--------
34,καὶ,καί,c--------
35,ἔδωκεν,δίδωμι,v3saia---
36,Ἀπολλοδώρῳ,Ἀπολλόδωρος,n-s---md-
37,τῷ,ὁ,l-s---md-
38,υἱεῖ,υἱός,n-s---md-
39,τῷ,ὁ,l-s---md-
40,ἐκείνου,ἐκεῖνος,p-s---mg-
41,θυγατέρα,θυγάτηρ,n-s---fa-
42,μὲν,μέν,d--------
43,αὑτοῦ,ἑαυτοῦ,p-s---mg-
44,",",punc1,u--------
45,ἀδελφὴν,ἀδελφή,n-s---fa-
46,δὲ,δέ,c--------
47,ἐμήν,ἐμός,a-s---fa-
48,",",punc1,u--------
49,ἐξ,ἐκ,r--------
50,ἧς,ὅς,p-s---fg-
51,Ἀπολλοδώρῳ,Ἀπολλόδωρος,n-s---md-
52,οἱ,ὁ,l-p---mn-
53,παῖδές,παῖς,n-p---mn-
54,εἰσιν,εἰμί,v3ppia---
55,.,punc1,u--------
