@id,@form,@lemma,@postag
1,εἶτ’,εἶτα,d--------
2,οὐκ,οὐ,d--------
3,αἰσχύνεσθε,αἰσχύνω,v2ppme---
4,",",",",u--------
5,εἰ,εἰ,c--------
6,μη,μη,d--------
7,-δ’,δέ,d--------
8,ἃ,ὅς,p-p---na-
9,πάθοιτ’,πάσχω,v2paoa---
10,ἄν,ἄν,d--------
11,",",",",u--------
12,εἰ,εἰ,c--------
13,δύναιτ’,δύναμαι,v3spoe---
14,ἐκεῖνος,ἐκεῖνος,p-s---mn-
15,",",",",u--------
16,ταῦτα,οὗτος,p-p---na-
17,ποιῆσαι,ποιέω,v--ana---
18,καιρὸν,καιρός,n-s---ma-
19,ἔχοντες,ἔχω,v-pppamn-
20,οὐ,οὐ,d--------
21,τολμήσετε,τολμάω,v2pfia---
22,;,;,u--------
