@id,@form,@lemma,@postag
1,εἶτα,εἶτα,d--------
2,καὶ,καί,d--------
3,προσήκειν,προσήκω,v--pna---
4,ὑπολαμβάνοντες,ὑπολαμβάνω,v-pppamn-
5,τὸν,ὁ,l-s---ma-
6,ἐροῦντ᾽,ἐρέω,v-sppama-
7,ἐπὶ,ἐπί,r--------
8,τοῖς,ὁ,l-p---md-
9,τετελευτηκόσι,τελευτάω,v-prpamd-
10,καὶ,καί,c--------
11,τὴν,ὁ,l-s---fa-
12,ἐκείνων,ἐκεῖνος,p-p---mg-
13,ἀρετὴν,ἀρετή,n-s---fa-
14,κοσμήσοντα,κοσμέω,v-sfpama-
15,μή,μή,d--------
16,-θ᾽,τε,d--------
17,ὁμωρόφιον,ὁμωρόφιος,a-s---ma-
18,μή,μή,d--------
19,-θ᾽,τε,c--------
20,ὁμόσπονδον,ὁμόσπονδος,a-s---ma-
21,γεγενημένον,γίγνομαι,v-srpema-
22,εἶναι,εἰμί,v--pna---
23,τοῖς,ὁ,l-p---md-
24,πρὸς,πρός,r--------
25,ἐκείνους,ἐκεῖνος,p-p---ma-
26,παραταξαμένοις,παρατάσσω,v-papmmd-
27,",",punc1,u--------
28,μη,μη,d-------_
29,-δ᾽,δέ,c--------
30,ἐκεῖ,ἐκεῖ,d--------
31,μὲν,μέν,d--------
32,κωμάζειν,κωμάζω,v--pna---
33,καὶ,καί,c--------
34,παιωνίζειν,παιωνίζω,v--pna---
35,ἐπὶ,ἐπί,r--------
36,ταῖς,ὁ,l-p---fd-
37,τῶν,ὁ,l-p---mg-
38,Ἑλλήνων,Ἕλλην,n-p---mg-
39,συμφοραῖς,συμφορά,n-p---fd-
40,μετὰ,μετά,r--------
41,τῶν,ὁ,l-p---mg-
42,αὐτοχείρων,αὐτόχειρ,n-p---mg-
43,τοῦ,ὁ,l-s---mg-
44,φόνου,φόνος,n-s---mg-
45,",",punc1,u--------
46,δεῦρο,δεῦρο,d--------
47,δ᾽,δέ,d--------
48,ἐλθόντα,ἔρχομαι,v-sapama-
49,τιμᾶσθαι,τιμάω,v--pne---
50,",",punc1,u--------
51,μη,μη,d-------_
52,-δὲ,δέ,c--------
53,τῇ,ὁ,l-s---fd-
54,φωνῇ,φωνή,n-s---fd-
55,δακρύειν,δακρύω,v--pna---
56,ὑποκρινόμενον,ὑποκρίνομαι,v-sppema-
57,τὴν,ὁ,l-s---fa-
58,ἐκείνων,ἐκεῖνος,p-p---mg-
59,τύχην,τύχη,n-s---fa-
60,",",punc1,u--------
61,ἀλλὰ,ἀλλά,c--------
62,τῇ,ὁ,l-s---fd-
63,ψυχῇ,ψυχή,n-s---fd-
64,συναλγεῖν,συναλγέω,v--pna---
65,.,punc1,u--------
66,[0],,
