@id,@form,@lemma,@postag
1,λέγω,λέγω3,v1spsa---
2,δὴ,δή,d--------
3,τοὺς,ὁ,l-p---ma-
4,πάντας,πᾶς,a-p---ma-
5,στρατιώτας,στρατιώτης,n-p---ma-
6,δισχιλίους,δισχίλιοι,a-p---ma-
7,",",punc1,u--------
8,τούτων,οὗτος,p-p---mg-
9,δʼ,δέ,c--------
10,Ἀθηναίους,Ἀθήναιος,n-p---ma-
11,φημὶ,φημί,v1spia---
12,δεῖν,δέω2,v--pna---
13,εἶναι,εἰμί,v--pna---
14,πεντακοσίους,πεντακόσιοι,a-p---ma-
15,",",punc1,u--------
16,ἐξ,ἐκ,r--------
17,ἧς,ὅς,a-s---fg_
18,ἄν,ἄν1,d--------
19,τινος,τις,a-s---fg_
20,ὑμῖν,σύ,p-p---md-
21,ἡλικίας,ἡλικία,n-s---fg-
22,καλῶς,καλός,d-------p
23,ἔχειν,ἔχω,v--pna---
24,δοκῇ,δοκέω,v3spsa---
25,",",punc1,u--------
26,χρόνον,χρόνος,n-s---ma-
27,τακτὸν,τακτός,a-s---ma-
28,στρατευομένους,στρατεύω,v-pppema-
29,",",punc1,u--------
30,μὴ,μή,d--------
31,μακρὸν,μακρός,a-s---ma-
32,τοῦτον,οὗτος,a-s---ma_
33,",",punc1,u--------
34,ἀλλʼ,ἀλλά,c--------
35,ὅσον,ὅσος,a-s---ma-
36,ἂν,ἄν1,d--------
37,δοκῇ,δοκέω,v3spsa---
38,καλῶς,καλός,d-------p
39,ἔχειν,ἔχω,v--pna---
40,",",punc1,u--------
41,ἐκ,ἐκ,r--------
42,διαδοχῆς,διαδοχή,n-s---fg-
43,ἀλλήλοις,ἀλλήλων,p-p---md-
44,·,punc1,u--------
