@id,@form,@lemma,@postag
1,ἔτι,ἔτι,d--------
2,δὲ,δέ,d--------
3,πρὸς,πρός,r--------
4,τούτοις,οὗτος,p-p---nd-
5,",",",",u--------
6,ὁπότε,ὁπότε,c--------
7,μὴ,μή,d--------
8,διδοὺς,δίδωμι,v-sppamn-
9,ἀργύριον,ἀργύριον,n-s---na-
10,προστάττοι,προστάσσω,v3spoa---
11,πλεῖν,πλέω,v--pna---
12,",",",",u--------
13,οὐκ,οὐ,d--------
14,ἔμελλεν,μέλλω,v3siia---
15,αὐτῷ,αὐτός,p-s---md-
16,ἀνάξεσθαι,ἀνάγω,v--fnm---
17,ὥσπερ,ὥσπερ,c--------
18,ἐγώ,ἐγώ,p1s---mn-
19,",",",",u--------
20,ἀλλὰ,ἀλλά,c--------
21,πράγματα,πρᾶγμα,n-p---na-
22,παρέξειν,παρέχω,v--fna---
23,.,.,u--------
24,[0],[0],v_____---
