@id,@form,@lemma,@postag
1,διὸ,διό,d--------
2,καὶ,καί,d--------
3,κατʼ,κατά,r--------
4,ἐκείνους,ἐκεῖνος,a-p---ma_
5,τοὺς,ὁ,l-p---ma-
6,καιροὺς,καιρός,n-p---ma-
7,μηδενὸς,μηδείς,p-s---mg-
8,πρότερον,πρότερος,a-s---na-
9,πεπορθηκότος,πορθέω,v-srpamg-
10,τὴν,ὁ,l-s---fa-
11,Λακωνικήν,Λακωνικός,a-s---fa-
12,",",punc1,u--------
13,παρεκάλεσε,παρακαλέω,v3saia---
14,τὸν,ὁ,l-s---ma-
15,δῆμον,δῆμος,n-s---ma-
16,δῃῶσαι,δηιόω,v--ana---
17,τὴν,ὁ,l-s---fa-
18,τῶν,ὁ,l-p---mg-
19,Σπαρτιατῶν,Σπαρτιάτης,n-p---mg-
20,χώραν,χώρα,n-s---fa-
21,",",punc1,u--------
22,ἐπηγγέλλετο,ἐπαγγέλλω,v3saim---
23,δὲ,δέ,c--------
24,χιλίους,χίλιοι,a-p---ma-
25,ὁπλίτας,ὁπλίτης,n-p---ma-
26,παραλαβὼν,παραλαμβάνω,v-sapamn-
27,εἰς,εἰς,r--------
28,τὰς,ὁ,l-p---fa-
29,τριήρεις,τριήρης,n-p---fa-
30,μετὰ,μετά,r--------
31,τούτων,οὗτος,p-p---mg-
32,πορθήσειν,πορθέω,v--fna---
33,μὲν,μέν,d--------
34,τὴν,ὁ,l-s---fa-
35,Λακωνικήν,Λακωνικός,a-s---fa-
36,",",punc1,u--------
37,ταπεινώσειν,ταπεινόω,v--fna---
38,δὲ,δέ,c--------
39,τὴν,ὁ,l-s---fa-
40,τῶν,ὁ,l-p---mg-
41,Σπαρτιατῶν,Σπαρτιάτης,n-p---mg-
42,δόξαν,δόξα,n-s---fa-
43,.,punc1,u--------
