@id,@form,@lemma,@postag
1,οἱ,ὁ,l-p---mn-
2,δὲ,δέ,d--------
3,Καρχηδόνιοι,Καρχηδόνιος,n-p---mn-
4,παρʼ,παρά,r--------
5,ἐλπίδας,ἐλπίς,n-p---fa-
6,μεγάλῃ,μέγας,a-s---fd-
7,συμφορᾷ,συμφορά,n-s---fd-
8,περιπεσόντες,περιπίπτω,v-papamn-
9,ἐπὶ,ἐπί,r--------
10,τοσοῦτο,τοσοῦτος,p-s---na-
11,κατεπλάγησαν,καταπλάσσω,v3paip---
12,",",punc1,u--------
13,ὥστε,ὥστε,c--------
14,τὰς,ὁ,l-p---fa-
15,νύκτας,νύξ,n-p---fa-
16,ἅπαντας,ἅπας,a-p---ma-
17,διαγρυπνεῖν,διαγρυπνέω,v--pna---
18,φυλάττοντας,φυλάσσω,v-pppama-
19,τὴν,ὁ,l-s---fa-
20,πόλιν,πόλις,n-s---fa-
21,",",punc1,u--------
22,ὡς,ὡς,d--------
23,τοῦ,ὁ,l-s---mg-
24,Γέλωνος,Γέλων,n-s---mg-
25,πάσῃ,πᾶς,a-s---fd-
26,τῇ,ὁ,l-s---fd-
27,δυνάμει,δύναμις,n-s---fd-
28,παραχρῆμα,παραχρῆμα,d--------
29,διεγνωκότος,διαγιγνώσκω,v-srpamg-
30,πλεῖν,πλέω,v--pna---
31,ἐπὶ,ἐπί,r--------
32,τὴν,ὁ,l-s---fa-
33,Καρχηδόνα,Καρχηδών,n-s---fa-
34,.,punc1,u--------
