@id,@form,@lemma,@postag
1,ὡς,ὡς,c--------
2,δ᾽,δέ,d--------
3,οὐχ,οὐ,d--------
4,εὕρισκεν,εὑρίσκω,v3siia---
5,ἐπὶ,ἐπί,r--------
6,τὸ,ὁ,l-s---na-
7,σπήλαιον,σπήλαιον,n-s---na-
8,ἀφικνεῖται,ἀφικνέομαι,v3spie---
9,τοῖς,ὁ,l-p---nd-
10,μὲν,μέν,d--------
11,ἴχνεσι,ἴχνος,n-p---nd-
12,διαρτώμενος,διαρτάω,v-sppemn-
13,",",punc1,u--------
14,οὐδὲν,οὐδείς,a-s---na_
15,δὲ,δέ,d--------
16,ἧττον,ἥσσων,a-s---nac
17,οἰόμενος,οἴομαι,v-sppemn-
18,δεῖν,δεῖ,v--pna---
19,διερευνήσασθαι,διερευνάω,v--anm---
20,τὸν,ὁ,l-s---ma-
21,χῶρον,χῶρος,n-s---ma-
22,.,punc1,u--------
