@id,@form,@lemma,@postag
1,Ἀστυάγης,Ἀστυάγης,n-s---mn-
2,δὲ,δέ,d--------
3,μιν,μιν,p3s---ma-
4,οὐκ,οὐ,d--------
5,εὖ,εὖ,d--------
6,βουλεύεσθαι,βουλεύω,v--pne---
7,ἔφη,φημί,v3siia---
8,ἐπιθυμέοντα,ἐπιθυμέω,v-sppama-
9,ἐς,εἰς,r--------
10,ἀνάγκας,ἀνάγκη,n-p---fa-
11,μεγάλας,μέγας,a-p---fa-
12,ἀπικνέεσθαι,ἀφικνέομαι,v--pne---
13,",",punc1,u--------
14,ἅμα,ἅμα,d--------
15,τε,τε,c--------
16,λέγων,λέγω3,v-sppamn-
17,ταῦτα,οὗτος,p-p---na-
18,ἐσήμαινε,σημαίνω,v3siia---
19,τοῖσι,ὁ,l-p---md-
20,δορυφόροισι,δορύφορος,a-p---md-
21,λαμβάνειν,λαμβάνω,v--pna---
22,αὐτόν,αὐτός,p-s---ma-
23,.,punc1,u--------
