@id,@form,@lemma,@postag
1,Καὶ,καί,d-------_
2,ὡς,ὡς,c--------
3,ἄρας,αἴρω,v-sapamn-
4,ἀπὸ,ἀπό,r--------
5,τῆς,ὁ,l-s---fg-
6,Αἰγύπτου,Αἴγυπτος,n-s---fg-
7,Τίτος,Τίτος,n-s---mn-
8,δεύτερον,δεύτερος,a-s---na-
9,εἰς,εἰς,r--------
10,τὴν,ὁ,l-s---fa-
11,χώραν,χώρα,n-s---fa-
12,ἐνέβαλεν,ἐμβάλλω,v3saia---
13,",",punc1,u--------
14,ὅπως,ὅπως,c--------
15,τε,τε,d--------
16,τὰς,ὁ,l-p---fa-
17,δυνάμεις,δύναμις,n-p---fa-
18,καὶ,καί,d--------
19,ὅπου,ὅπου,d--------
20,συνήγαγε,συνάγω,v3saia---
21,καὶ,καί,c--------
22,ὁπόσας,ὁπόσος,a-p---fa-
23,",",punc1,u--------
24,καὶ,καί,d--------
25,ὅπως,ὅπως,c--------
26,ἐκ,ἐκ,r--------
27,τῆς,ὁ,l-s---fg-
28,στάσεως,στάσις,n-s---fg-
29,ἡ,ὁ,l-s---fn-
30,πόλις,πόλις,n-p---fa-
31,διέκειτο,διάκειμαι,v3siie---
32,παρόντος,πάρειμι1,v-sppamg-
33,αὐτοῦ,αὐτός,p-s---mg-
34,",",punc1,u--------
35,προσβολάς,προσβολή,n-p---fa-
36,τε,τε,d--------
37,ὅσας,ὅσος,a-p---fa-
38,ἐποιήσατο,ποιέω,v3saim---
39,καὶ,καί,c--------
40,ὁπόσα,ὁπόσος,a-p---na-
41,χώματα,χῶμα,n-p---na-
42,",",punc1,u--------
43,περιβόλους,περίβολος,a-p---ma-
44,τε,τε,d--------
45,τῶν,ὁ,l-p---ng-
46,τριῶν,τρεῖς,a-p---ng_
47,τειχῶν,τεῖχος,n-p---ng-
48,καὶ,καί,c--------
49,τὰ,ὁ,l-p---na-
50,μέτρα,μέτρον,n-p---na-
51,τούτων,οὗτος,p-p---ng-
52,",",punc1,u--------
53,τήν,ὁ,l-s---fa-
54,τε,τε,c--------
55,τῆς,ὁ,l-s---fg-
56,πόλεως,πόλις,n-s---fg-
57,ὀχυρότητα,ὀχυρότης,n-s---fa-
58,καὶ,καί,c--------
59,τοῦ,ὁ,l-s---ng-
60,ἱεροῦ,ἱερόν,n-s---ng-
61,καὶ,καί,c--------
62,τοῦ,ὁ,l-s---mg-
63,ναοῦ,ναός,n-s---mg-
64,τὴν,ὁ,l-s---fa-
65,διάθεσιν,διάθεσις,n-s---fa-
66,",",punc1,u--------
67,ἔτι,ἔτι,d--------
68,δὲ,δέ,d--------
69,τούτων,οὗτος,p-p---ng-
70,καὶ,καί,c--------
71,τοῦ,ὁ,l-s---mg-
72,βωμοῦ,βωμός,n-s---mg-
73,τὰ,ὁ,l-p---na-
74,μέτρα,μέτρον,n-p---na-
75,πάντα,πᾶς,a-p---na-
76,μετ᾽,μετά,r--------
77,ἀκριβείας,ἀκρίβεια,n-s---fg-
78,",",punc1,u--------
79,ἔθη,ἔθος,n-p---na-
80,τε,τε,d--------
81,ἑορτῶν,ἑορτή,n-p---fg-
82,ἔνια,ἔνιοι,a-p---na-
83,καὶ,καί,d--------
84,τὰς,ὁ,l-p---fa-
85,ἑπτὰ,ἑπτὰ,a-_---___
86,ἁγνείας,ἁγνεία,n-p---fa-
87,καὶ,καί,c--------
88,τὰς,ὁ,l-p---fa-
89,τῶν,ὁ,l-p---mg-
90,ἱερέων,ἱερεύς,n-p---mg-
91,λειτουργίας,λειτουργία,n-p---fa-
92,",",punc1,u--------
93,ἔτι,ἔτι,d--------
94,δὲ,δέ,c--------
95,τὰς,ὁ,l-p---fa-
96,ἐσθῆτας,ἐσθής,n-p---fa-
97,τῶν,ὁ,l-p---mg-
98,ἱερέων,ἱερεύς,n-p---mg-
99,καὶ,καί,c--------
100,τοῦ,ὁ,l-s---mg-
101,ἀρχιερέως,ἀρχιερεύς,n-s---mg-
102,",",punc1,u--------
103,καὶ,καί,c--------
104,οἷον,οἷος,a-s---nn-
105,ἦν,εἰμί,v3siia---
106,τοῦ,ὁ,l-s---mg-
107,ναοῦ,ναός,n-s---mg-
108,τὸ,ὁ,l-s---na-
109,ἅγιον,ἅγιος,a-s---nn-
110,",",punc1,u--------
111,οὐδὲν,οὐδείς,p-s---na-
112,οὔ,οὐ,d--------
113,-τε,τε,d--------
114,ἀποκρυπτόμενος,ἀποκρύπτω,v-sppemn-
115,οὔ,οὐ,d--------
116,-τε,τε,c--------
117,προστιθεὶς,προστίθημι,v-sppamn-
118,τοῖς,ὁ,l-p---nd-
119,πεφωραμένοις,φωράω,v-prpend-
120,.,punc1,u--------
121,συνήγαγε,συνάγω,v3saia---
122,συνήγαγε,συνάγω,v3saia---
123,[0],,
