@id,@form,@lemma,@postag
1,ἐγὼ,ἐγώ,p1s---mn-
2,μὲν,μέν,d--------
3,οὖν,οὖν,d--------
4,καὶ,καί,d-------_
5,φίλῳ,φίλος,a-s---md-
6,ὄντι,εἰμί,v-sppamd-
7,Ἀρχεστρατίδῃ,Ἀρχεστρατίδης,n-s---md-
8,βοηθῶν,βοηθέω,v-sppamn-
9,",",punc1,u--------
10,καὶ,καί,c--------
11,Ἀλκιβιάδην,Ἀλκιβιάδης,n-s---ma-
12,ἐχθρὸν,ἐχθρός,a-s---ma-
13,ὄντα,εἰμί,v-sppama-
14,ἐμαυτοῦ,ἐμαυτοῦ,p-s---mg-
15,τιμωρούμενος,τιμωρέω,v-sppemn-
16,",",punc1,u--------
17,δέομαι,δέω2,v1spie---
18,τὰ,ὁ,l-p---na-
19,δίκαια,δίκαιος,a-p---na-
20,ψηφίσασθαι,ψηφίζω,v--anm---
21,·,punc1,u--------
