@id,@form,@lemma,@postag
1,ὅτι,ὅτι2,c--------
2,μὲν,μέν,d--------
3,τοίνυν,τοίνυν,d--------
4,οὐ,οὐ,d--------
5,κατέλιπεν,καταλιμπάνω,v3saia---
6,Ἀριστοφάνης,Ἀριστοφάνης,n-s---mn-
7,ἀργύριον,ἀργύριον,n-s---na-
8,οὐ,οὐ,d--------
9,-δὲ,δέ,c--------
10,χρυσίον,χρυσίον,n-s---na-
11,",",punc1,u--------
12,ῥᾴδιον,ῥᾴδιος,a-s---nn-
13,γνῶναι,γιγνώσκω,v--ana---
14,ἐκ,ἐκ,r--------
15,τῶν,ὁ,l-p---ng-
16,εἰρημένων,ἐρῶ,v-prpeng-
17,καὶ,καί,c--------
18,μεμαρτυρημένων,μαρτυρέω,v-prpeng-
19,:,punc1,u--------
20,ἐστιν,εἰμί,v3spia---
