@id,@form,@lemma,@postag
1,οὔ,οὐ,d--------
2,-τε,τε,d--------
3,γὰρ,γάρ,d--------
4,ἐν,ἐν,r--------
5,δίκῃ,δίκη,n-s---fd-
6,οὔ,οὔ,d--------
7,-τʼ,τε,c--------
8,ἐν,ἐν,r--------
9,πολέμῳ,πόλεμος,n-s---md-
10,οὔ,οὔ,d--------
11,-τʼ,τε,d--------
12,ἐμὲ,ἐγώ,p1s---ma-
13,οὔ,οὔ,d--------
14,-τʼ,τε,c--------
15,ἄλλον,ἄλλος,a-s---ma_
16,οὐδένα,οὐδείς,p-s---ma-
17,δεῖ,δεῖ,v3siia---
18,τοῦτο,οὗτος,p-s---na-
19,μηχανᾶσθαι,μηχανάομαι,v--pne---
20,",",punc1,u--------
21,ὅπως,ὅπως,c--------
22,ἀποφεύξεται,ἀποφεύγω,v3sfim---
23,πᾶν,πᾶς,a-s---na-
24,ποιῶν,ποιόω,v-sppamn_
25,θάνατον,θάνατος,n-s---ma-
26,.,punc1,u--------
