@id,@form,@lemma,@postag
1,πλήκτρου,πλῆκτρον,n-s---ng-
2,μὲν,μέν,d--------
3,γὰρ,γάρ,d--------
4,καὶ,καί,c--------
5,λύρας,λύρα,n-s---fg-
6,χρῆσιν,χρῆσις,n-s---fa-
7,οὐδὲν,οὐδείς,p-s---na-
8,οὔ,οὐ,d--------
9,-τε,τε,d--------
10,σχήματος,σχῆμα,n-s---ng-
11,οὔ,οὐ,d--------
12,-τε,τε,c--------
13,μορφῆς,μορφή,n-s---fg-
14,ἐλευθέρῳ,ἐλεύθερος,a-s---md-
15,πρεπούσης,πρέπω,v-sppafg-
16,διαφθείρειν,διαφθείρω,v--pna---
17,",",punc1,u--------
18,αὐλοὺς,αὐλός,n-p---ma-
19,δὲ,δέ,c--------
20,φυσῶντος,φυσάω,v-sppamg-
21,ἀνθρώπου,ἄνθρωπος,n-s---mg-
22,στόματι,στόμα,n-s---nd-
23,καὶ,καί,d--------
24,τοὺς,ὁ,l-p---ma-
25,συνήθεις,συνήθης,a-p---ma-
26,ἂν,ἄν1,d--------
27,πάνυ,πάνυ,d--------
28,μόλις,μόλις,d--------
29,διαγνῶναι,διαγιγνώσκω,v--ana---
30,τὸ,ὁ,l-s---na-
31,πρόσωπον,πρόσωπον,n-s---na-
32,.,punc1,u--------
33,[0],,
