@id,@form,@lemma,@postag
1,ἄλλαι,ἄλλος,a-p---fn_
2,τε,τε,d--------
3,μυρίαι,μυρίος,a-s---fd-
4,Τύχης,Τύχη,n-s---fg-
5,τιμαὶ,τιμή,n-p---fn-
6,καὶ,καί,c--------
7,ἐπικλήσεις,ἐπίκλησις,n-p---fn-
8,",",punc1,u--------
9,ὧν,ὅς,p-p---fg-
10,τὰς,ὁ,l-p---fa-
11,πλείστας,πλεῖστος,a-p---fa-
12,Σερούιος,Σερούϊος,n-s---mn-
13,κατέστησεν,καθίστημι,v3saia---
14,",",punc1,u--------
15,εἰδὼς,οἶδα,v-srpamn-
16,ὅτι,ὅτι2,c--------
17,μεγάλη,μέγας,a-s---fn-
18,ῥοπή,ῥοπή,n-s---fn-
19,",",punc1,u--------
20,μᾶλλον,μᾶλλον,d--------
21,δʼ,δέ,c--------
22,ὅλον,ὅλος,a-s---na-
23,ἡ,ὁ,l-s---fn-
24,Τύχη,Τύχη,n-s---fn-
25,παρὰ,παρά,r--------
26,πάντʼ,πᾶς,a-p---na_
27,ἐστὶ,εἰμί,v3spia---
28,τὰ,ὁ,l-p---na-
29,τῶν,ὁ,l-p---mg-
30,ἀνθρώπων,ἄνθρωπος,n-p---mg-
31,πράγματα,πρᾶγμα,n-p---na-
32,",",punc1,u--------
33,καὶ,καί,c--------
34,μάλιστὰ,μάλιστα,d--------
35,γʼ,γε,d--------
36,αὐτοῦ,αὐτός,p-s---mg-
37,διʼ,διά,r--------
38,εὐτυχίαν,εὐτυχία,n-s---fa-
39,ἐξ,ἐκ,r--------
40,αἰχμαλώτου,αἰχμάλωτος,a-s---ng-
41,καὶ,καί,c--------
42,πολεμίου,πολέμιος,a-s---ng-
43,γένους,γένος,n-s---ng-
44,εἰς,εἰς,r--------
45,βασιλείαν,βασιλεία,n-s---fa-
46,προαχθέντος,προάγω,v-sappmg-
47,.,punc1,u--------
48,[0],,
49,ἐστιν,εἰμί,v3spia---
