@id,@form,@lemma,@postag
1,ἀλλ᾽,ἀλλά,d--------
2,οὕτω,οὕτως,d--------
3,δύσερις,δύσερις,n-s---fn-
4,ἦν,εἰμί,v3siia---
5,καὶ,καί,d--------
6,βάσκανος,βάσκανος,a-s---fn-
7,ἡ,ὁ,l-s---fn-
8,Τύχη,Τύχη,n-s---fn-
9,καὶ,καί,d--------
10,φιλοβάρβαρος,φιλοβάρβαρος,a-s---fn-
11,καὶ,καί,c--------
12,μισαλέξανδρος,μισαλέξανδρος,a-s---fn-
13,",",punc1,u--------
14,ὥστε,ὥστε,c--------
15,μὴ,μή,d--------
16,τὸ,ὁ,l-s---na-
17,σῶμα,σῶμα,n-s---na-
18,μόνον,μόνος,a-s---na-
19,αὐτοῦ,αὐτός,p-s---mg-
20,μη,μη,d-------_
21,-δὲ,δέ,c--------
22,τὸν,ὁ,l-s---ma-
23,βίον,βίος,n-s---ma-
24,",",punc1,u--------
25,ἀλλὰ,ἀλλά,c--------
26,καὶ,καί,d--------
27,τὴν,ὁ,l-s---fa-
28,δόξαν,δόξα,n-s---fa-
29,ἀνελεῖν,ἀναιρέω,v--ana---
30,ὅσον,ὅσος,a-s---na-
31,ἐφ᾽,ἐπί,r--------
32,ἑαυτῇ,ἑαυτοῦ,p-s---fd-
33,καὶ,καί,c--------
34,διαφθεῖραι,διαφθείρω,v--ana---
35,τὴν,ὁ,l-s---fa-
36,εὔκλειαν,εὔκλεια,n-s---fa-
37,.,punc1,u--------
38,[0],,
39,[1],,
