@id,@form,@lemma,@postag
1,ἐν,εἰς,r--------
2,δὲ,δέ,d--------
3,τῷ,ὁ,l-s---md-
4,χειμῶνι,χειμών,n-s---md-
5,τοὺς,ὁ,l-p---ma-
6,λεγομένους,λέγω2,v-pppema-
7,λυκόφονας,,n-p---ma-
8,ὑπεβάλλοντο,ὑποβάλλω,v3piie---
9,καὶ,καί,c--------
10,κατεμίγνυσαν,καταμίγνυμι,v3piia---
11,ταῖς,ὁ,l-p---fd-
12,στιβάσι,στίβασις,n-s---fd-
13,",",punc1,u--------
14,θερμαντικὸν,θερμαντικός,a-s---na-
15,ἔχειν,ἔχω,v--pna---
16,τι,τις,p-s---na-
17,τῆς,ὁ,l-s---fg-
18,ὕλης,ὕλη,n-s---fg-
19,δοκούσης,δοκέω,v-sppafg-
20,.,punc1,u--------
