@id,@form,@lemma,@postag
1,ἡ,ὁ,l-s---fn-
2,μὲν,μέν,d--------
3,γὰρ,γάρ,d--------
4,περὶ,περί,r--------
5,τὰς,ὁ,l-p---fa-
6,κτήσεις,κτῆσις,n-p---fa-
7,ἰσότης,ἰσότης,n-s---fn-
8,καὶ,καί,d--------
9,περὶ,περί,r--------
10,τὴν,ὁ,l-s---fa-
11,δίαιταν,δίαιτα,n-s---fa-
12,ἀφέλεια,ἀφέλεια,n-s---fn-
13,καὶ,καί,c--------
14,κοινότης,κοινότης,n-s---fn-
15,σώφρονας,σώφρων,a-p---ma-
16,μὲν,μέν,d--------
17,ἔμελλε,μέλλω,v3siia---
18,τοὺς,ὁ,l-p---ma-
19,κατʼ,κατά,r--------
20,ἰδίαν,ἴδιος,a-s---fa-
21,βίους,βίος,n-p---ma-
22,παρασκευάζειν,παρασκευάζω,v--pna---
23,",",punc1,u--------
24,ἀστασίαστον,ἀστασίαστος,a-s---fa-
25,δὲ,δέ,c--------
26,τὴν,ὁ,l-s---fa-
27,κοινὴν,κοινός,a-s---fa-
28,παρέξεσθαι,παρέχω,v--fnm---
29,πολιτείαν,πολιτεία,n-s---fa-
30,",",punc1,u--------
31,ἡ,ὁ,l-s---fn-
32,δὲ,δέ,c--------
33,πρὸς,πρός,r--------
34,τοὺς,ὁ,l-p---ma-
35,πόνους,πόνος,n-p---ma-
36,καὶ,καί,c--------
37,πρὸς,πρός,r--------
38,τὰ,ὁ,l-p---na-
39,δεινὰ,δεινός,a-p---na-
40,τῶν,ὁ,l-p---ng-
41,ἔργων,ἔργον,n-p---ng-
42,ἄσκησις,ἄσκησις,n-s---fn-
43,ἀλκίμους,ἄλκιμος,a-p---ma-
44,καὶ,καί,c--------
45,γενναίους,γενναῖος,a-p---ma-
46,ἀποτελέσειν,ἀποτελέω,v--fna---
47,ἄνδρας,ἀνήρ,n-p---ma-
48,.,punc1,u--------
49,ἔμελλε,μέλλω,v3siia---
