@id,@form,@lemma,@postag
1,κάμπτων,κάμπτω,v-sppamn-
2,δὲ,δέ,d--------
3,περὶ,περί,r--------
4,τὸ,ὁ,l-s---na-
5,τῆς,ὁ,l-s---fg-
6,Ἰταλίας,Ἰταλία,n-s---fg-
7,ἀκρωτήριον,ἀκρωτήριον,n-s---na-
8,ἐμπίπτει,ἐμπίτνω,v3spia---
9,τοῖς,ὁ,l-p---md-
10,πολεμίοις,πολέμιος,n-p---md-
11,ἐν,ἐν,r--------
12,κόσμῳ,κόσμος,n-s---md-
13,καὶ,καί,c--------
14,τάξει,τάξις,n-s---fd-
15,ποιουμένοις,ποιέω,v-pppemd-
16,τὸν,ὁ,l-s---ma-
17,πλοῦν,πλόος,n-s---ma-
18,καὶ,καί,c--------
19,τὰς,ὁ,l-p---fa-
20,μὲν,μέν,d--------
21,πλείους,πλέως,a-p---ma-
22,ἀπέβαλε,ἀποβάλλω,v3saia---
23,τῶν,ὁ,l-p---fg-
24,νεῶν,ναῦς,n-p---fg-
25,",",punc1,u--------
26,αὐτὸς,αὐτός,p-s---mn-
27,δὲ,δέ,c--------
28,μετὰ,μετά,r--------
29,τῶν,ὁ,l-p---fg-
30,ὑπολειφθεισῶν,ὑπολείπω,v-pappfg-
31,ἀνελπίστως,ἀνέλπιστος,d--------
32,καὶ,καί,c--------
33,παραδόξως,παράδοξος,d--------
34,διέφυγεν,διαφεύγω,v3saia---
35,.,punc1,u--------
