@id,@form,@lemma,@postag
1,εἰ,εἰ,c--------
2,δέ,δέ,d--------
3,τις,τις,p-s---mn-
4,καὶ,καί,d--------
5,τοῦτο,οὗτος,p-s---na-
6,θαυμάζει,θαυμάζω,v3spia---
7,",",punc1,u--------
8,ὅτι,ὅτι2,c--------
9,ἐῶσι,ἐάω,v3ppia---
10,τοὺς,ὁ,l-p---ma-
11,δούλους,δοῦλος,n-p---ma-
12,τρυφᾶν,τρυφάω,v--pna---
13,αὐτόθι,αὐτόθι,d--------
14,καὶ,καί,c--------
15,μεγαλοπρεπῶς,μεγαλοπρεπής,d--------
16,διαιτᾶσθαι,διαιτάω,v--pne---
17,ἐνίους,ἔνιοι,a-p---ma-
18,",",punc1,u--------
19,καὶ,καί,d--------
20,τοῦτο,οὗτος,p-s---na-
21,γνώμῃ,γνώμη,n-s---fd-
22,φανεῖεν,φαίνω,v3paop---
23,ἂν,ἄν1,d--------
24,ποιοῦντες,ποιέω,v-pppamn-
25,.,punc1,u--------
26,ἐῶσι,ἐάω,v3ppia---
