@id,@form,@lemma,@postag
1,νῦν,νῦν,d--------
2,δὲ,δέ,d--------
3,πρὸς,πρός,r--------
4,ξύμπαντάς,σύμπας,a-p---ma-
5,τε,τε,d--------
6,ἡμᾶς,ἐγώ,p1p---ma-
7,Ἀθηναῖοι,Ἀθηναῖος,n-p---mn-
8,ἱκανοὶ,ἱκανός,a-p---mn-
9,καὶ,καί,c--------
10,κατὰ,κατά,r--------
11,πόλιν,πόλις,n-s---fa-
12,ἔτι,ἔτι,d--------
13,δυνατώτεροι,δυνατός,a-p---mnc
14,",",punc1,u--------
15,ὥστε,ὥστε,c--------
16,εἰ,εἰ,c--------
17,μὴ,μή,d--------
18,καὶ,καί,d--------
19,ἁθρόοι,ἀθρόος,a-p---mn-
20,καὶ,καί,d--------
21,κατὰ,κατά,r--------
22,ἔθνη,ἔθνος,n-p---na-
23,καὶ,καί,c--------
24,ἕκαστον,ἕκαστος,a-s---na-
25,ἄστυ,ἄστυ,n-s---na-
26,μιᾷ,εἷς,a-s---fd-
27,γνώμῃ,γνώμη,n-s---fd-
28,ἀμυνούμεθα,ἀμύνω,v1pfim---
29,αὐτούς,αὐτός,p-p---ma-
30,",",punc1,u--------
31,δίχα,δίχα,d--------
32,γε,γε,d--------
33,ὄντας,εἰμί,v-pppama-
34,ἡμᾶς,ἐγώ,p1p---ma-
35,ἀπόνως,ἄπονος,d-------_
36,χειρώσονται,χειρόω,v3pfim---
37,.,punc1,u--------
38,εἰσιν,εἰμί,v3ppia---
39,εἰσιν,εἰμί,v3ppia---
