@id,@form,@lemma,@postag
1,οἳ,ὁ,l-p---mn-
2,δʼ,δέ,d-------_
3,ἂν,ἐάν,c--------
4,αὖ,αὖ,d--------
5,ἐν,ἐν,r--------
6,τοῖς,ὁ,l-p---md-
7,ἐφήβοις,ἔφηβος,n-p---md-
8,διατελέσωσι,διατελέω,v3pasa---
9,τὰ,ὁ,l-p---na-
10,νόμιμα,νόμιμος,a-p---na-
11,ποιοῦντες,ποιέω,v-pppamn-
12,",",punc1,u--------
13,ἔξεστι,ἔξεστι,v3spia---
14,τούτοις,οὗτος,p-p---md-
15,εἰς,εἰς,r--------
16,τοὺς,ὁ,l-p---ma-
17,τελείους,τέλειος,a-p---ma-
18,ἄνδρας,ἀνήρ,n-p---ma-
19,συναλίζεσθαι,συναλίζω,v--pne---
20,καὶ,καί,c--------
21,ἀρχῶν,ἀρχή,n-p---fg-
22,καὶ,καί,c--------
23,τιμῶν,τιμή,n-p---fg-
24,μετέχειν,μετέχω,v--pna---
25,",",punc1,u--------
26,οἳ,ὁ,l-p---mn-
27,δʼ,δέ,c--------
28,ἂν,ἐάν,c--------
29,μὴ,μή,d-------_
30,διαγένωνται,διαγίγνομαι,v3pasm---
31,ἐν,ἐν,r--------
32,τοῖς,ὁ,l-p---md-
33,ἐφήβοις,ἔφηβος,n-p---md-
34,",",punc1,u--------
35,οὐκ,οὐ,d--------
36,εἰσέρχονται,εἰσέρχομαι,v3ppie---
37,εἰς,εἰς,r--------
38,τοὺς,ὁ,l-p---ma-
39,τελείους,τέλειος,a-p---ma-
40,.,punc1,u--------
