@id,@form,@lemma,@postag
1,ἐπεὶ,ἐπεί,c--------
2,δὲ,δέ,d--------
3,καὶ,καί,d--------
4,τοῦτο,οὗτος,p-s---na-
5,ἀνένευον,ἀνανεύω,v1siia---
6,",",punc1,u--------
7,ἤλεγχες,ἐλέγχω,v2siia---
8,αὖ,αὖ,d--------
9,σὺ,σύ,p-s---mn-
10,εἴ,εἰ,c--------
11,τινα,τις,a-s---ma_
12,λόγον,λόγος,n-s---ma-
13,ποιήσαιτο,ποιέω,v3saom---
14,διδάσκων,διδάσκω,v-sppamn-
15,περὶ,περί,r--------
16,τοῦ,ὁ,l-s---ng-
17,πείθεσθαι,πείθω,v--pne---
18,τὴν,ὁ,l-s---fa-
19,στρατιάν,στρατιά,n-s---fa-
20,",",punc1,u--------
21,ὡς,ὡς,c--------
22,ἄν,ἄν1,d--------
23,τις,τις,p-s---mn-
24,μάλιστα,μάλιστα,d--------
25,μηχανῷτο,μηχανάομαι,v3spoe---
26,.,punc1,u--------
