@id,@form,@lemma,@postag
1,τῶν,ὁ,l-p---mg-
2,οὖν,οὖν,d--------
3,ὑπηρετῶν,ὑπηρέτης,n-p---mg-
4,τις,τις,p-s---mn-
5,ἀπεκρίνατο,ἀποκρίνω,v3saim---
6,ὅτι,ὅτι,c--------
7,ὦ,ὦ,i--------
8,δέσποτα,δεσπότης,n-s---mv-
9,",",",",u--------
10,οὐ,οὐ,d--------
11,ζῇ,ζάω,v3spia---
12,",",",",u--------
13,ἀλλ’,ἀλλά,c--------
14,ἐν,ἐν,r--------
15,τῇ,ὁ,l-s---fd-
16,μάχῃ,μάχη,n-s---fd-
17,ἀπέθανεν,ἀποθνῄσκω,v3saia---
18,ἐμβαλὼν,ἐμβάλλω,v-sapamn-
19,τὸ,ὁ,l-s---na-
20,ἅρμα,ἅρμα,n-s---na-
21,εἰς,εἰς,r--------
22,τοὺς,ὁ,l-p---ma-
23,Αἰγυπτίους,Αἰγύπτιος,n-p---ma-
24,·,·,u--------
