@id,@form,@lemma,@postag
1,καὶ,καί,d--------
2,γὰρ,γάρ,d--------
3,ἀνάλκιδας,ἄναλκις,n-p---ma-
4,ἡγεῖτο,ἡγέομαι,v3siim---
5,εἶναι,εἰμί,v--pna---
6,αὐτοὺς,αὐτός,p-p---ma-
7,καὶ,καί,c--------
8,ἀσυντάκτους,ἀσύντακτος,a-p---ma-
9,ὄντας,εἰμί,v-pppama-
10,ἑώρα,ὁράω,v3siia---
11,",",punc1,u--------
12,καὶ,καί,c--------
13,πρὸς,πρός,r--------
14,τούτοις,οὗτος,p-p---nd-
15,οὐ,οὐ,d-------_
16,-δʼ,δέ,d-------_
17,ἐπλησίαζε,πλησιάζω,v3siia---
18,τούτων,οὗτος,p-p---mg-
19,οὐδεὶς,οὐδείς,p-s---mn-
20,αὐτῷ,αὐτός,p-s---md-
21,οὔ,οὐ,d--------
22,-τε,τε,d--------
23,νυκτὸς,νύξ,n-s---fg-
24,οὔ,οὐ,d--------
25,-τε,τε,c--------
26,ἡμέρας,ἡμέρα,n-s---fg-
27,.,punc1,u--------
