@id,@form,@lemma,@postag
1,ἔδοξε,δοκέω,v3saia---
2,δὲ,δέ,d--------
3,καὶ,καί,d--------
4,τοῖς,ὁ,l-p---md-
5,τῶν,ὁ,l-p---mg-
6,Ἀθηναίων,Ἀθήναιος,n-p---mg-
7,στρατηγοῖς,στρατηγός,n-p---md-
8,ἑπτὰ,ἑπτὰ,a-_---___
9,μὲν,μέν,d--------
10,καὶ,καί,c--------
11,τετταράκοντα,τετταράκοντα,a-_---___
12,ναυσὶ,ναῦς,n-p---fd-
13,Θηραμένην,Θηραμένης,n-s---ma-
14,τε,τε,d--------
15,καὶ,καί,c--------
16,Θρασύβουλον,Θρασύβουλος,n-s---ma-
17,τριηράρχους,τριήραρχος,n-p---ma-
18,ὄντας,εἰμί,v-pppama-
19,καὶ,καί,c--------
20,τῶν,ὁ,l-p---mg-
21,ταξιάρχων,ταξίαρχος,n-p---mg-
22,τινὰς,τις,p-p---ma-
23,πλεῖν,πλέω,v--pna---
24,ἐπὶ,ἐπί,r--------
25,τὰς,ὁ,l-p---fa-
26,καταδεδυκυίας,καταδύω,v-prpafa-
27,ναῦς,ναῦς,n-p---fa-
28,καὶ,καί,c--------
29,τοὺς,ὁ,l-p---ma-
30,ἐπʼ,ἐπί,r--------
31,αὐτῶν,αὐτός,p-p---fg-
32,ἀνθρώπους,ἄνθρωπος,n-p---ma-
33,",",punc1,u--------
34,ταῖς,ὁ,l-p---fd-
35,δὲ,δέ,c--------
36,ἄλλαις,ἄλλος,p-p---fd-
37,ἐπὶ,ἐπί,r--------
38,τὰς,ὁ,l-p---fa-
39,μετʼ,μετά,r--------
40,Ἐτεονίκου,Ἐτεόνικος,n-s---mg-
41,τῇ,ὁ,l-s---fd-
42,Μυτιλήνῃ,Μυτιλήνη,n-s---fd-
43,ἐφορμούσας,ἐφορμάω,v-pppafa-
44,.,punc1,u--------
45,πλεῖν,πλέω,v--pna---
