@id,@form,@lemma,@postag
1,ὁπότερα,ὁπότερος,a-p---na-
2,μὲν,μέν,d--------
3,οὖν,οὖν,d--------
4,",",punc1,u--------
5,εἴ,εἰ,c--------
6,-τε,τε,d--------
7,λαθόντες,λανθάνω,v-papamn-
8,τὸν,ὁ,l-s---ma-
9,Λύσανδρον,Λύσανδρος,n-s---ma-
10,ἐπέπεσον,ἐπιπίπτω,v3paia---
11,αὐτῷ,αὐτός,p-s---md-
12,εἴ,εἰ,c--------
13,-τε,τε,c--------
14,καὶ,καί,d--------
15,αἰσθόμενος,αἰσθάνομαι,v-sapmmn-
16,προσιόντας,πρόσειμι1,v-pppama-
17,ὡς,ὡς,d--------
18,κρατήσων,κρατέω,v-sfpamn-
19,ὑπέμενεν,ὑπομένω,v3siia---
20,",",punc1,u--------
21,ἄδηλον,ἄδηλος,a-s---nn-
22,·,punc1,u--------
23,ἐστιν,εἰμί,v3spia---
