@id,@form,@lemma,@postag,@relation
1,λέγει,λέγω3,v3spia---,PRED
2,γάρ,γάρ,d--------,AuxY
3,που,πού,d--------,ADV
4,Ἀχιλλεὺς,Ἀχιλλεύς,n-s---mn-,SBJ
5,ὀδυρόμενος,ὀδύρομαι,v-sppemn-,ADV
6,τὸν,ὁ,l-s---ma-,ATR
7,τοῦ,ὁ,l-s---mg-,ATR
8,Πατρόκλου,Πάτροκλος,n-s---mg-,ATR
9,θάνατον,θάνατος,n-s---ma-,OBJ
10,",",punc1,u--------,AuxX
11,ὡς,ὡς,d--------,AuxZ
12,ἕν,εἷς,a-s---na_,ATR
13,τι,τις,p-s---na-,OBJ
14,τοῦτο,οὗτος,a-s---na_,ATR
15,τῶν,ὁ,l-p---ng-,ATR
16,λυπηροτάτων,λυπηρός,a-p---ngs,ATR
17,ἀναμιμνῃσκόμενος,ἀναμιμνήσκω,v-sppemn-,ADV
18,",",punc1,u--------,AuxX
19,ὅτι,ὅτι2,c--------,AuxC
20,τὴν,ὁ,l-s---fa-,ATR
21,ὑπόσχεσιν,ὑπόσχεσις,n-s---fa-,OBJ
22,τὴν,ὁ,l-s---fa-,ATR
23,πρὸς,πρός,r--------,AuxP
24,τὸν,ὁ,l-s---ma-,ATR
25,πατέρα,πατήρ,n-s---ma-,ATR
26,τὸν,ὁ,l-s---ma-,ATR
27,Πατρόκλου,Πάτροκλος,n-s---mg-,ATR
28,Μενοίτιον,Μενοίτιος,n-s---ma-,ATR
29,ἄκων,ἀέκων,a-s---mn-,AtvV
30,ἐψεύσατο,ψεύδω,v3saim---,OBJ
31,:,punc1,u--------,AuxK
