@id,@form,@lemma,@postag,@relation
1,ἔδοξεν,δοκέω,v3saia---,PRED
2,οὖν,οὖν,d--------,AuxY
3,αὐτῇ,αὐτός,p-s---fd-,OBJ
4,βουλευομένῃ,βουλεύω,v-sppefd-,ADV
5,βέλτιον,βελτίων,a-s---nnc,PNOM
6,εἶναι,εἰμί,v--pna---,OBJ
7,μετὰ,μετά,r--------,AuxP
8,δεῖπνον,δεῖπνον,n-s---na-,ADV
9,δοῦναι,δίδωμι,v--ana---,SBJ
10,",",punc1,u--------,AuxX
11,τῆς,ὁ,l-s---fg-,ATR
12,Κλυταιμνήστρας,Κλυταιμνήστρα,n-s---fg-,ATR
13,ταύτης,οὗτος,a-s---fg_,ATR
14,[,punc1,u--------,AuxX
15,τῆς,ὁ,l-s---fg-,ATR
16,τούτου,οὗτος,p-s---mg-,ATR
17,μητρὸς,μήτηρ,n-s---fg-,ATR
18,],punc1,u--------,AuxX
19,ταῖς,ὁ,l-p---fd-,ATR
20,ὑποθήκαις,ὑποθήκη,n-p---fd-,OBJ
21,ἅμα,ἅμα,d--------,ADV
22,διακονοῦσαν,διακονέω,v-sppafa-,ADV
23,.,punc1,u--------,AuxK
