@id,@form,@lemma,@postag,@relation
1,προσέκειτο,πρόσκειμαι,v3siie---,PRED
2,δέ,δέ,d--------,AuxY
3,",",punc1,u--------,AuxX
4,εἰ,εἰ,c--------,AuxC
5,κυρώσειε,κυρόω,v3saoa---,ADV
6,τὸν,ὁ,l-s---ma-,ATR
7,νόμον,νόμος,n-s---ma-,OBJ
8,ὁ,ὁ,l-s---mn-,ATR
9,δῆμος,δῆμος,n-s---mn-,SBJ
10,",",punc1,u--------,AuxX
11,τὴν,ὁ,l-s---fa-,ATR
12,βουλὴν,βουλή,n-s---fa-,SBJ
13,πένθʼ,πέντε,a-_---___,ATR
14,ἡμέραις,ἡμέρα,n-p---fd-,ADV
15,ἐπομόσαι,ἐπόμνυμι,v--ana---,OBJ_CO
16,πεισθήσεσθαι,πείθω,v--fnp---,OBJ
17,τῷ,ὁ,l-s---md-,ATR
18,νόμῳ,νόμος,n-s---md-,OBJ
19,",",punc1,u--------,AuxX
20,ἢ,ἢ,c--------,COORD
21,τὸν,ὁ,l-s---ma-,ATR
22,οὐκ,οὐ,d--------,AuxZ
23,ὀμόσαντα,ὄμνυμι,v-sapama-,SBJ
24,μή,μή,d--------,AuxZ
25,-τε,τε,d--------,AuxY
26,βουλεύειν,βουλεύω,v--pna---,OBJ_CO
27,καὶ,καί,c--------,COORD
28,ὀφλεῖν,ὀφλέω,v--pna---,OBJ_CO
29,τῷ,ὁ,l-s---md-,ATR
30,δήμῳ,δῆμος,n-s---md-,OBJ
31,τάλαντα,τάλαντον,n-p---na-,OBJ
32,εἴκοσιν,εἴκοσιν,a-_---___,ATR
33,",",punc1,u--------,AuxX
34,ὑπονοοῦντες,ὑπονοέω,v-pppamn-,ADV
35,οὕτως,οὕτως,d--------,ADV
36,ἄλλους,ἄλλος,p-p---ma-,OBJ_CO
37,τε,τε,d--------,AuxY
38,τῶν,ὁ,l-p---mg-,ATR
39,δυσχεραινόντων,δυσχεραίνω,v-pppamg-,ATR
40,ἀμυνεῖσθαι,ἀμύνω,v--fnm---,OBJ
41,καὶ,καί,c--------,COORD
42,Μέτελλον,Μέτελλος,n-s---ma-,OBJ_CO
43,ὑπὸ,ὑπό,r--------,AuxP
44,φρονήματος,φρόνημα,n-s---ng-,ADV
45,οὐκ,οὐ,d--------,AuxZ
46,ἐνδώσοντα,ἐνδίδωμι,v-sfpama-,ATR
47,ἐς,εἰς,r--------,AuxP
48,τὸν,ὁ,l-s---ma-,ATR
49,ὅρκον,ὅρκος,n-s---ma-,ADV
50,.,punc1,u--------,AuxK
