@id,@form,@lemma,@postag,@relation
1,καὶ,καί,d--------,AuxY
2,τῶν,ὁ,l-p---mg-,ATR
3,λοιπῶν,λοιπός,a-p---mg-,SBJ
4,ἐς,εἰς,r--------,AuxP
5,τὰ,ὁ,l-p---na-,ATR
6,σφέτερα,σφέτερος,a-p---na-,ADV
7,διὰ,διά,r--------,AuxP
8,ἀπόρου,ἄπορος,a-s---fg-,ATR
9,χώρας,χώρα,n-s---fg-,OBJ_CO
10,καὶ,καί,c--------,COORD
11,χειμῶνος,χειμών,n-s---mg-,OBJ_CO
12,ἐπιπόνου,ἐπίπονος,a-s---mg-,ATR
13,διατρεχόντων,διατρέχω,v-pppamg-,ADV
14,οἱ,ὁ,l-p---mn-,ATR
15,ἡμίσεις,ἥμισυς,a-p---mn-,SBJ
16,βαλανηφαγοῦντες,βαλανηφαγέω,v-pppamn-,ADV
17,διεφθάρησαν,διαφθείρω,v3paip---,PRED
18,.,punc1,u--------,AuxK
