@id,@form,@lemma,@postag,@relation
1,ἓν,εἷς,a-s---nn_,ATR
2,μὲν,μέν,d--------,AuxY
3,οὖν,οὖν,d--------,AuxY
4,εἶδος,εἶδος,n-s---nn-,SBJ
5,κτητικῆς,κτητικός,a-s---fg-,ATR
6,κατὰ,κατά,r--------,AuxP
7,φύσιν,φύσις,n-s---fa-,ADV
8,τῆς,ὁ,l-s---fg-,ATR
9,οἰκονομικῆς,οἰκονομικός,a-s---fg-,ATR
10,μέρος,μέρος,n-s---nn-,PNOM
11,ἐστίν,εἰμί,v3spia---,PRED
12,",",punc1,u--------,AuxX
13,καθὸ,καθό,d--------,ADV
14,δεῖ,δεῖ,v3siia---,ADV
15,ἤτοι,ἤτοι,d--------,AuxZ
16,ὑπάρχειν,ὑπάρχω,v--pna---,SBJ_CO
17,ἢ,ἢ,c--------,COORD
18,πορίζειν,πορίζω,v--pna---,SBJ_CO
19,αὐτὴν,αὐτός,p-s---fa-,OBJ
20,ὅπως,ὅπως,c--------,AuxC
21,ὑπάρχῃ,ὑπάρχω,v3spsa---,ADV
22,ὧν,ὅς,a-p---ng_,ATR
23,ἔστι,εἰμί,v3spia---,OBJ
24,θησαυρισμὸς,θησαυρισμός,n-s---mn-,SBJ
25,χρημάτων,χρῆμα,n-p---ng-,ATR
26,πρὸς,πρός,r--------,AuxP
27,ζωὴν,ζωή,n-s---fa-,ADV
28,ἀναγκαίων,ἀμ̄ακαῖος,a-p---ng-,ATR_CO
29,",",punc1,u--------,AuxX
30,καὶ,καί,c--------,COORD
31,χρησίμων,χρήσιμος,a-p---ng-,ATR_CO
32,εἰς,εἰς,r--------,AuxP
33,κοινωνίαν,κοινωνία,n-s---fa-,ADV
34,πόλεως,πόλις,n-s---fg-,ATR_CO
35,ἢ,ἢ,c--------,COORD
36,οἰκίας,οἰκία,n-s---fg-,ATR_CO
37,.,punc1,u--------,AuxK
