@id,@form,@lemma,@postag,@relation
1,ὕστερον,ὕστερος,a-s---na-,ADV
2,δὲ,δέ,d--------,AuxY
3,καὶ,καί,d--------,AuxZ
4,οἱ,ὁ,l-p---mn-,ATR
5,Κροτωνιᾶται,Κρότων,n-p---mn-,SBJ
6,",",punc1,u--------,AuxX
7,φησὶν,φημί,v3spia---,PRED
8,ὁ,ὁ,l-s---mn-,ATR
9,Τίμαιος,Τίμαιος,n-s---mn-,SBJ
10,",",punc1,u--------,AuxX
11,ἐπεχείρησαν,ἐπιχειρέω,v3paia---,OBJ
12,τὴν,ὁ,l-s---fa-,ATR
13,Ὀλυμπικὴν,Ὀλυμπικός,a-s---fa-,ATR
14,πανήγυριν,πανήγυρις,n-s---fa-,OBJ
15,καταλῦσαι,καταλύω,v--ana---,OBJ
16,",",punc1,u--------,AuxX
17,τῷ,ὁ,l-s---md-,ATR
18,αὐτῷ,αὐτός,a-s---md_,ATR
19,χρόνῳ,χρόνος,n-s---md-,ADV
20,προθέντες,προτίθημι,v-papamn-,ADV
21,ἀργυρικὸν,ἀργυρικός,a-s---ma-,ATR
22,σφόδρα,σφόδρα,d--------,ADV
23,πλούσιον,πλούσιος,a-s---ma-,ATR
24,ἀγῶνα,ἀγών,n-s---ma-,OBJ
25,.,punc1,u--------,AuxK
