@id,@form,@lemma,@postag,@relation
1,ἐξέδωκεν,ἐκδίδωμι,v3saia---,PRED_CO
2,δὲ,δέ,d--------,AuxY
3,καὶ,καί,d--------,AuxY
4,Ἱππάρχῳ,Ἵππαρχος,n-s---md-,OBJ
5,τῷ,ὁ,l-s---md-,ATR
6,υἱεῖ,υἱός,n-s---md-,ATR
7,τὴν,ὁ,l-s---fa-,ATR
8,παραιβατήσασαν,παρά-βατέω,v-sapafa-,ATR
9,αὑτῷ,ἑαυτοῦ,p-s---md-,OBJ
10,γυναῖκα,γυνή,n-s---fa-,ATR
11,Φύην,Φύη,n-s---fa-,OBJ
12,τὴν,ὁ,l-s---fa-,ATR
13,Σωκράτους,Σωκράτης,n-s---mg-,ATR
14,θυγατέρα,θυγάτηρ,n-s---fa-,ATR
15,",",punc1,u--------,AuxX
16,καὶ,καί,c--------,COORD
17,Χάρμου,χάρμης,n-s---mg-,ATR
18,τοῦ,ὁ,l-s---mg-,ATR
19,πολεμαρχήσαντος,πολεμαρχέω,v-sapamg-,ATR
20,θυγατέρα,θυγάτηρ,n-s---fa-,OBJ
21,ἔλαβεν,λαμβάνω,v3saia---,PRED_CO
22,Ἱππίᾳ,ἱππίας,n-s---md-,OBJ
23,περικαλλεστάτην,περικαλλής,a-s---fas,PNOM
24,οὖσαν,εἰμί,v-sppafa-,ADV
25,τῷ,ὁ,l-s---md-,ATR
26,μετ᾽,μετά,r--------,AuxP
27,αὐτὸν,αὐτός,p-s---ma-,ADV
28,τυραννεύσαντι,τυραννεύω,v-sapamd-,ATR
29,.,punc1,u--------,AuxK
