@id,@form,@lemma,@postag,@relation
1,τὸν,ὁ,l-s---ma-,ATR
2,δʼ,δέ,d--------,AuxY
3,Ἵππαρχον,Ἵππαρχος,n-s---ma-,OBJ
4,αὐτὸν,αὐτός,a-s---ma_,ATR
5,ὑμῖν,σύ,p-p---md-,ADV
6,καλῶ,καλέω,v1sfia---,PRED_CO
7,",",punc1,u--------,AuxX
8,καὶ,καί,c--------,COORD
9,ἀναγκάσω,ἀναγκάζω,v1sfia---,PRED_CO
10,μαρτυρεῖν,μαρτυρέω,v--pna---,OBJ_CO
11,ἢ,ἢ,c--------,COORD
12,ἐξόμνυσθαι,ἐξόμνυμι,v--pne---,OBJ_CO
13,κατὰ,κατά,r--------,AuxP
14,τὸν,ὁ,l-s---ma-,ATR
15,νόμον,νόμος,n-s---ma-,ADV
16,",",punc1,u--------,AuxX
17,ἢ,ἢ,c--------,COORD
18,κλητεύσω,κλητεύω,v1sfia---,PRED_CO
19,αὐτόν,αὐτός,p-s---ma-,OBJ
20,.,punc1,u--------,AuxK
