@id,@form,@lemma,@postag,@relation
1,ταῦτα,οὗτος,a-p---nn-,SBJ
2,γὰρ,γάρ,d--------,AuxY
3,ἄπιστα,ἄπιστος,a-p---nn-,PNOM
4,μὲν,μέν,d--------,AuxY
5,ἦν,εἰμί,v3siia---,PRED_CO
6,δήπου,δήπου,d--------,AuxZ
7,φύσει,φύσις,n-s---fd-,ADV_CO
8,καὶ,καί,c--------,COORD
9,ἀεὶ,ἀεί,d--------,CO
10,πᾶσιν,πᾶς,a-p---md-,ATR
11,ἀνθρώποις,ἄνθρωπος,n-p---md-,ADV_CO
12,",",",",u--------,AuxX
13,κομιδῇ,κομιδῇ,d--------,ADV
14,δ’,δέ,c--------,COORD
15,",",",",u--------,AuxX
16,ὥσπερ,ὥσπερ,c--------,AuxC
17,ἦν,εἰμί,v3siia---,ADV
18,",",",",u--------,AuxX
19,καὶ,καί,d--------,AuxZ
20,ἔστι,εἰμί,v3spia---,PRED_CO
21,νῦν,νῦν,d--------,ADV
22,τούτῳ,οὗτος,p-s---nd-,ADV
23,.,.,u--------,AuxK
