@id,@form,@lemma,@postag,@relation
1,καὶ,καί,d--------,AuxY
2,ὑμεῖς,σύ,p-p---mn-,SBJ
3,",",punc1,u--------,AuxX
4,ἂν,ἐάν,c--------,AuxC
5,ἐν,ἐν,r--------,AuxP
6,Χερρονήσῳ,Χερσόνησος,n-s---fd-,PNOM
7,πύθησθε,πυνθάνομαι,v2pasa---,PRED_CO
8,Φίλιππον,Φίλιππος,n-s---ma-,SBJ
9,",",punc1,u--------,AuxX
10,ἐκεῖσε,ἐκεῖσε,d--------,ADV
11,βοηθεῖν,βοηθέω,v--pna---,OBJ
12,ψηφίζεσθε,ψηφίζω,v2ppie---,PRED_CO
13,",",punc1,u--------,AuxX
14,ἂν,ἐάν,c--------,AuxC
15,ἐν,ἐν,r--------,AuxP
16,Πύλαις,Πύλαι,n-p---fd-,PNOM
17,",",punc1,u--------,AuxX
18,ἐκεῖσε,ἐκεῖσε,d--------,ADV
19,",",punc1,u--------,AuxX
20,ἂν,ἐάν,c--------,AuxC
21,ἄλλοθί,ἄλλοθι,d--------,OBJ
22,που,πού,d--------,ADV
23,",",punc1,u--------,AuxX
24,συμπαραθεῖτʼ,συμπαραθέω,v2ppia---,PRED_CO
25,ἄνω,ἄνω2,d--------,ADV
26,κάτω,κάτω,d--------,ADV
27,",",punc1,u--------,AuxX
28,καὶ,καί,c--------,COORD
29,στρατηγεῖσθʼ,στρατηγέω,v2ppie---,PRED_CO
30,ὑπʼ,ὑπό,r--------,AuxP
31,ἐκείνου,ἐκεῖνος,p-s---mg-,OBJ
32,",",punc1,u--------,AuxX
33,βεβούλευσθε,βουλεύω,v2prie---,PRED_CO
34,δʼ,δέ,d--------,AuxY
35,οὐδὲν,οὐδείς,p-s---na-,OBJ
36,αὐτοὶ,αὐτός,p-p---mn-,SBJ
37,συμφέρον,συμφέρω,v-sppana-,ATR
38,περὶ,περί,r--------,AuxP
39,τοῦ,ὁ,l-s---mg-,ATR
40,πολέμου,πόλεμος,n-s---mg-,ADV
41,",",punc1,u--------,AuxX
42,οὐ,οὐ,d--------,AuxZ
43,-δὲ,δέ,c--------,COORD
44,πρὸ,πρό,r--------,AuxP
45,τῶν,ὁ,l-p---ng-,ATR
46,πραγμάτων,πρᾶγμα,n-p---ng-,ADV
47,προορᾶτʼ,προοράω,v2ppia---,PRED_CO
48,οὐδέν,οὐδείς,p-s---na-,OBJ
49,",",punc1,u--------,AuxX
50,πρὶν,πρίν,c--------,AuxC
51,ἂν,ἄν1,d--------,AuxY
52,ἢ,ἤ1,d--------,AuxY
53,γεγενημένον,γίγνομαι,v-srpena-,OBJ_CO
54,ἢ,ἤ1,c--------,COORD
55,γιγνόμενόν,γίγνομαι,v-sppena-,OBJ_CO
56,τι,τις,p-s---na-,SBJ
57,πύθησθε,πυνθάνομαι,v2pase---,ADV
58,.,punc1,u--------,AuxK
59,πύθησθε,πυνθάνομαι,v2pase---,ADV
60,πύθησθε,πυνθάνομαι,v2pase---,ADV
61,ψηφίζεσθε,ψηφίζω,v2ppie---,PRED_CO
62,βοηθεῖν,βοηθέω,v--pna---,OBJ
63,εἶναι,εἰμί,v--pna---,OBJ
64,εἶναι,εἰμί,v--pna---,OBJ
