@id,@form,@lemma,@postag,@relation
1,ὧν,ὅς,a-p---mg_,OBJ
2,ἀκούοντά,ἀκούω,v-sppama-,ADV
3,μὲ,ἐγώ,p-s---ma-,SBJ
4,καὶ,καί,d--------,AuxZ
5,παρὰ,παρά,r--------,AuxP
6,τῶν,ὁ,l-p---mg-,ATR
7,ἀφικνουμένων,ἀφικνέομαι,v-pppemg-,ATR
8,λόγῳ,λόγος,n-s---md-,ADV
9,",",",",u--------,AuxX
10,τὰ,ὁ,l-p---na-,OBJ
11,δὲ,δέ,c--------,COORD
12,καὶ,καί,d--------,AuxZ
13,δι’,διά,r--------,AuxP
14,ἐπιστολῶν,ἐπιστολή,n-p---fg-,ADV
15,παρὰ,παρά,r--------,AuxP
16,τῶν,ὁ,l-p---mg-,ATR
17,οἰκείων,οἰκεῖος,a-p---mg-,ADV
18,",",",",u--------,AuxX
19,τίνα,τις,a-s---fa_,ATR
20,μὲ,ἐγώ,p-s---ma-,SBJ
21,οἴεσθε,οἴομαι,v2ppie---,PRED
22,ψυχὴν,ψυχή,n-s---fa-,OBJ
23,ἔχειν,ἔχω,v--pna---,OBJ_CO
24,ἢ,ἢ,c--------,COORD
25,πόσα,πόσος,a-p---na-,ATR
26,δάκρυα,δάκρυον,n-p---na-,OBJ
27,ἀφιέναι,ἀφίημι,v--pna---,OBJ_CO
28,",",",",u--------,AuxX
29,τὰ,ὁ,l-p---na-,AuxZ
30,μὲν,μέν,d--------,AuxY
31,ἐκλογιζόμενον,ἐκλογίζομαι,v-sppemas,ADV_CO
32,περὶ,περί,r--------,AuxP
33,τῶν,ὁ,l-p---ng-,ATR
34,παρόντων,πάρειμι,v-pppang-,ADV
35,",",",",u--------,AuxX
36,τὰ,ὁ,l-p---na-,AuxZ
37,δὲ,δέ,c--------,COORD
38,καὶ,καί,d--------,AuxZ
39,ποθοῦντα,ποθέω,v-sppama_,ADV_CO
40,ἰδεῖν,ὁράω,v--ana---,OBJ
41,παιδία,παιδίον,n-p---na-,OBJ_CO
42,καὶ,καί,d--------,AuxY
43,γυναῖκα,γυνή,n-s---fa-,OBJ_CO
44,καὶ,καί,c--------,COORD
45,μητέρα,μήτηρ,n-s---fa-,OBJ_CO
46,",",",",u--------,AuxX
47,ἣν,ὅς,p-s---fa-,SBJ
48,ἐγὼ,ἐγώ,p1s---mn-,SBJ
49,οὐ,οὐ,d--------,AuxZ
50,πολλὰς,πολύς,a-p---fa-,ATR
51,ἐλπίδας,ἐλπίς,n-p---fa-,OBJ
52,εἶχον,ἔχω,v1siia---,ATR
53,ζῶσαν,ζάω,v-sppafa-,OBJ
54,καταλήψεσθαι,καταλαμβάνω,v--fnm---,ATR
55,;,;,u--------,AuxK
