@id,@form,@lemma,@postag,@relation
1,ὁ,ὁ,l-s---mn-,ATR
2,γὰρ,γάρ,d--------,AuxY
3,Δουκέτιος,Δουκέτιος,n-s---mn-,SBJ
4,τὴν,ὁ,l-s---fa-,ATR
5,Παλικὴν,Παλική,n-s---fa-,OBJ
6,κτίσας,κτίζω,v-sapamn-,ADV_CO
7,καὶ,καί,c--------,COORD
8,περιλαβὼν,περιλαμβάνω,v-sapamn-,ADV_CO
9,αὐτὴν,αὐτός,p-s---fa-,OBJ
10,ἀξιολόγῳ,ἀξιόλογος,a-s---nd-,ATR
11,τείχει,τεῖχος,n-s---nd-,ADV
12,",",punc1,u--------,AuxX
13,κατεκληρούχησε,κατά-κληρουχέω,v3saia---,PRED
14,τὴν,ὁ,l-s---fa-,ATR
15,ὅμορον,ὅμορος,a-s---fa-,ATR
16,χώραν,χώρα,n-s---fa-,OBJ
17,.,punc1,u--------,AuxK
