@id,@form,@lemma,@postag,@relation
1,οἱ,ὁ,l-p---mn-,ATR
2,μὲν,μέν,d--------,AuxY
3,οὖν,οὖν,d--------,AuxY
4,Ἕλληνες,Ἕλλην,n-p---mn-,SBJ
5,",",punc1,u--------,AuxX
6,ὡσπερεί,ὥσπερ,d--------,AuxZ
7,τινι,τις,a-s---md_,ATR
8,προαγῶνι,προαγών,n-s---md-,OBJ
9,λαμπρῶς,λαμπρός,d--------,ADV
10,προτερήσαντες,προτερέω,v-papamn-,ADV
11,",",punc1,u--------,AuxX
12,εὐέλπιδες,εὔελπις,n-p---mn-,PNOM
13,ἐγένοντο,γίγνομαι,v3paim---,PRED
14,περὶ,περί,r--------,AuxP
15,τῆς,ὁ,l-s---fg-,ATR
16,ὁλοσχεροῦς,ὁλοσχερής,a-s---fg-,ATR
17,νίκης,νίκη,n-s---fg-,ADV
18,·,punc1,u--------,AuxK
