@id,@form,@lemma,@postag,@relation
1,ἐκ,ἐκ,r--------,AuxP
2,δὲ,δέ,d--------,AuxY
3,τούτου,οὗτος,p-s---ng-,ADV
4,πληγὰς,πληγή,n-p---fa-,OBJ
5,αὐτοῖς,αὐτός,p-p---md-,OBJ
6,δόντας,δίδωμι,v-papama-,ADV
7,ὡς,ὡς,c--------,AuxC
8,αὐτοὺς,αὐτός,p-p---ma-,SBJ
9,ἀπελάσαι,ἀπελαύνω,v--ana---,ADV
10,τὰς,ὁ,l-p---fa-,ATR
11,ἀγέλας,ἀγέλη,n-p---fa-,OBJ
12,",",punc1,u--------,AuxX
13,ποιῆσαι,ποιέω,v--ana---,PRED
14,δὲ,δέ,d--------,AuxY
15,ταῦτα,οὗτος,p-p---na-,OBJ
16,τῇ,ὁ,l-s---fd-,ATR
17,γνώμῃ,γνώμη,n-s---fd-,ADV
18,τοῦ,ὁ,l-s---mg-,ATR
19,Νεμέτορος,Νεμέτωρ,n-s---mg-,ATR
20,",",punc1,u--------,AuxX
21,ἵν᾽,ἵνα,c--------,AuxC
22,ἀρχὴ,ἀρχή,n-s---fn-,SBJ_CO
23,γένοιτο,γίγνομαι,v3saom---,ADV
24,ἐγκλημάτων,ἔγκλημα,n-p---ng-,ATR
25,καὶ,καί,c--------,COORD
26,ἅμα,ἅμα,d--------,AuxZ
27,παρουσίας,παρουσία,n-s---fg-,ATR
28,εἰς,εἰς,r--------,AuxP
29,τὴν,ὁ,l-s---fa-,ATR
30,πόλιν,πόλις,n-s---fa-,ATR
31,τῷ,ὁ,l-s---nd-,ATR
32,νομευτικῷ,νομευτικός,a-s---nd-,ATR
33,πλήθει,πλῆθος,n-s---nd-,ATR
34,πρόφασις,πρόφασις,n-s---fn-,SBJ_CO
35,.,punc1,u--------,AuxK
