@id,@form,@lemma,@postag,@relation
1,εἰ,εἰ,c--------,AuxC
2,δὲ,δέ,d--------,AuxY
3,ταῦτα,οὗτος,p-p---na-,OBJ
4,οὐ,οὐ,d--------,AuxZ
5,ποιήσεις,ποίησις,n-p---fn-,ADV
6,",",punc1,u--------,AuxX
7,ἥλιον,ἥλιος,n-s---ma-,ADV
8,ἐπόμνυμί,ἐπόμνυμι,v1spia---,PRED
9,τοι,σύ,p-s---md-,OBJ
10,τὸν,ὁ,l-s---ma-,ATR
11,Μασσαγετέων,Μασσαγέται,n-p---mg-,ATR
12,δεσπότην,δεσπότης,n-s---ma-,ATR
13,",",punc1,u--------,AuxX
14,ἦ,ἦ,d--------,AuxZ
15,μέν,μέν,d--------,AuxZ
16,σε,σύ,p2s----a-,OBJ
17,ἐγὼ,ἐγώ,p1s---mn-,SBJ
18,καὶ,καί,d--------,AuxZ
19,ἄπληστον,ἄπληστος,a-s---ma-,PNOM
20,ἐόντα,εἰμί,v-sppama-,ADV
21,αἵματος,αἷμα,n-s---ng-,OBJ
22,κορέσω,κορέννυμι,v1sfia---,OBJ
23,.,punc1,u--------,AuxK
